CaseName,EventType,EventSubtype,TargetBus,LoadSwitchPct,FaultType,RawCsvRelativePath,FileExists,FileSizeBytes,NumRows,NumColumns
SSO_Normal_Case01,SSO_Normal,Normal,,,,raw_waveforms/SSO_Normal_Case01.csv,True,34104901,10001,181
SSO_Normal_Case02,SSO_Normal,Normal,,,,raw_waveforms/SSO_Normal_Case02.csv,True,34104901,10001,181
SSO_Normal_Case03,SSO_Normal,Normal,,,,raw_waveforms/SSO_Normal_Case03.csv,True,34104901,10001,181
SSO_LoadSwitch_Bus02,SSO_LoadSwitch,LoadSwitch15pct,2,15,,raw_waveforms/SSO_LoadSwitch_Bus02.csv,True,34107216,10001,181
SSO_LoadSwitch_Bus03,SSO_LoadSwitch,LoadSwitch15pct,3,15,,raw_waveforms/SSO_LoadSwitch_Bus03.csv,True,34105008,10001,181
SSO_LoadSwitch_Bus04,SSO_LoadSwitch,LoadSwitch15pct,4,15,,raw_waveforms/SSO_LoadSwitch_Bus04.csv,True,34105379,10001,181
SSO_LoadSwitch_Bus05,SSO_LoadSwitch,LoadSwitch15pct,5,15,,raw_waveforms/SSO_LoadSwitch_Bus05.csv,True,34093798,10001,181
SSO_LoadSwitch_Bus07,SSO_LoadSwitch,LoadSwitch15pct,7,15,,raw_waveforms/SSO_LoadSwitch_Bus07.csv,True,34104643,10001,181
SSO_LoadSwitch_Bus08,SSO_LoadSwitch,LoadSwitch15pct,8,15,,raw_waveforms/SSO_LoadSwitch_Bus08.csv,True,34107833,10001,181
SSO_LoadSwitch_Bus10,SSO_LoadSwitch,LoadSwitch15pct,10,15,,raw_waveforms/SSO_LoadSwitch_Bus10.csv,True,34105942,10001,181
SSO_LoadSwitch_Bus12,SSO_LoadSwitch,LoadSwitch15pct,12,15,,raw_waveforms/SSO_LoadSwitch_Bus12.csv,True,34101208,10001,181
SSO_LoadSwitch_Bus14,SSO_LoadSwitch,LoadSwitch15pct,14,15,,raw_waveforms/SSO_LoadSwitch_Bus14.csv,True,34104979,10001,181
SSO_LoadSwitch_Bus15,SSO_LoadSwitch,LoadSwitch15pct,15,15,,raw_waveforms/SSO_LoadSwitch_Bus15.csv,True,34105117,10001,181
SSO_LoadSwitch_Bus16,SSO_LoadSwitch,LoadSwitch15pct,16,15,,raw_waveforms/SSO_LoadSwitch_Bus16.csv,True,34105422,10001,181
SSO_LoadSwitch_Bus17,SSO_LoadSwitch,LoadSwitch15pct,17,15,,raw_waveforms/SSO_LoadSwitch_Bus17.csv,True,34105495,10001,181
SSO_LoadSwitch_Bus18,SSO_LoadSwitch,LoadSwitch15pct,18,15,,raw_waveforms/SSO_LoadSwitch_Bus18.csv,True,34105236,10001,181
SSO_LoadSwitch_Bus19,SSO_LoadSwitch,LoadSwitch15pct,19,15,,raw_waveforms/SSO_LoadSwitch_Bus19.csv,True,34105347,10001,181
SSO_LoadSwitch_Bus20,SSO_LoadSwitch,LoadSwitch15pct,20,15,,raw_waveforms/SSO_LoadSwitch_Bus20.csv,True,34104292,10001,181
SSO_LoadSwitch_Bus21,SSO_LoadSwitch,LoadSwitch15pct,21,15,,raw_waveforms/SSO_LoadSwitch_Bus21.csv,True,34103719,10001,181
SSO_LoadSwitch_Bus23,SSO_LoadSwitch,LoadSwitch15pct,23,15,,raw_waveforms/SSO_LoadSwitch_Bus23.csv,True,34105040,10001,181
SSO_LoadSwitch_Bus24,SSO_LoadSwitch,LoadSwitch15pct,24,15,,raw_waveforms/SSO_LoadSwitch_Bus24.csv,True,34103982,10001,181
SSO_LoadSwitch_Bus26,SSO_LoadSwitch,LoadSwitch15pct,26,15,,raw_waveforms/SSO_LoadSwitch_Bus26.csv,True,34102664,10001,181
SSO_LoadSwitch_Bus29,SSO_LoadSwitch,LoadSwitch15pct,29,15,,raw_waveforms/SSO_LoadSwitch_Bus29.csv,True,34102929,10001,181
SSO_LoadSwitch_Bus30,SSO_LoadSwitch,LoadSwitch15pct,30,15,,raw_waveforms/SSO_LoadSwitch_Bus30.csv,True,34100964,10001,181
SSO_SLG_Fault_Bus01,SSO_SLG_Fault,SLG,1,,SLG,raw_waveforms/SSO_SLG_Fault_Bus01.csv,True,34091459,10001,181
