Fold,Split,CaseID
1,train,2
1,train,3
1,train,4
1,train,5
1,train,6
1,train,7
1,train,8
1,train,9
1,train,11
1,train,12
1,train,13
1,train,14
1,train,15
1,train,16
1,train,17
1,train,18
1,train,19
1,train,20
1,train,22
1,train,24
1,train,25
1,train,27
1,train,30
1,train,31
1,train,32
1,train,33
1,train,36
1,train,38
1,train,39
1,train,42
1,train,43
1,train,44
1,train,45
1,train,46
1,train,47
1,train,49
1,train,50
1,train,51
1,train,52
1,train,53
1,train,54
1,train,55
1,train,56
1,train,58
1,train,59
1,train,60
1,train,61
1,train,64
1,train,65
1,train,66
1,train,67
1,train,69
1,train,70
1,train,71
1,train,72
1,train,74
1,train,75
1,train,76
1,train,77
1,train,78
1,train,79
1,train,80
1,train,81
1,train,82
1,train,83
1,train,84
1,train,85
1,train,86
1,train,87
1,train,88
1,train,89
1,train,90
1,train,91
1,train,93
1,train,94
1,train,96
1,train,97
1,train,101
1,train,103
1,train,105
1,train,106
1,train,108
1,train,110
1,train,111
1,train,112
1,train,114
1,train,115
1,train,116
1,train,118
1,train,120
1,train,121
1,train,122
1,train,123
1,train,124
1,train,125
1,train,126
1,train,127
1,train,129
1,train,130
1,train,131
1,train,132
1,train,133
1,train,135
1,train,136
1,train,137
1,train,139
1,train,140
1,train,141
1,train,142
1,train,143
1,train,144
1,train,145
1,train,146
1,train,147
1,train,148
1,train,149
1,train,150
1,train,152
1,train,153
1,train,154
1,train,155
1,train,156
1,train,157
1,train,158
1,train,159
1,train,161
1,train,163
1,train,164
1,train,165
1,train,166
1,train,167
1,train,168
1,train,169
1,train,172
1,train,173
1,train,174
1,train,176
1,train,177
1,train,178
1,train,179
1,train,180
1,train,181
1,train,182
1,train,183
1,train,184
1,train,185
1,train,186
1,train,187
1,train,188
1,train,189
1,train,190
1,train,191
1,train,192
1,train,193
1,train,194
1,train,195
1,train,196
1,train,197
1,train,198
1,train,199
1,train,200
1,train,201
1,train,202
1,train,204
1,train,205
1,train,206
1,train,207
1,train,208
1,train,210
1,train,212
