Fold,Split,CaseID
1,train,24
1,train,25
1,train,26
1,train,28
1,train,29
1,train,30
1,train,31
1,train,33
1,train,34
1,train,35
1,train,36
1,train,37
1,train,38
1,train,39
1,train,40
1,train,41
1,train,42
1,train,43
1,train,45
1,train,46
1,train,48
1,train,49
1,train,50
1,train,51
1,train,52
1,train,53
1,train,55
1,train,56
1,train,57
1,train,58
1,train,60
1,train,61
1,train,63
1,train,65
1,train,66
1,train,67
1,train,68
1,train,69
1,train,70
1,train,71
1,train,72
1,train,74
1,train,75
1,train,76
1,train,77
1,train,78
1,train,103
1,train,104
1,train,105
1,train,106
1,train,107
1,train,109
1,train,110
1,train,111
1,train,112
1,train,113
1,train,114
1,train,115
1,train,116
1,train,118
1,train,119
1,train,121
1,train,122
1,train,123
1,train,125
1,train,126
1,train,127
1,train,128
1,train,129
1,train,130
1,train,131
1,train,132
1,train,133
1,train,134
1,train,135
1,train,136
1,train,137
1,train,138
1,train,139
1,train,140
1,train,141
1,train,142
1,train,143
1,train,144
1,train,145
1,train,146
1,train,147
1,train,148
1,train,150
1,train,152
1,train,153
1,train,154
1,train,155
1,train,156
1,train,158
1,train,182
1,train,183
1,train,184
1,train,185
1,train,186
1,train,187
1,train,188
1,train,189
1,train,191
1,train,192
1,train,194
1,train,195
1,train,196
1,train,198
1,train,199
1,train,200
1,train,201
1,train,202
1,train,203
1,train,205
1,train,206
1,train,207
1,train,208
1,train,210
1,train,212
1,train,213
1,train,214
1,train,215
1,train,216
1,train,217
1,train,218
1,train,219
1,train,221
1,train,222
1,train,223
1,train,224
1,train,226
1,train,227
1,train,228
1,train,229
1,train,230
1,train,232
1,train,233
1,train,234
1,train,236
1,train,237
1,train,261
1,train,262
1,train,263
1,train,264
1,train,265
1,train,266
1,train,267
1,train,268
1,train,269
1,train,270
1,train,271
1,train,274
1,train,276
1,train,277
1,train,278
1,train,279
1,train,281
1,train,282
1,train,283
1,train,284
1,train,286
1,train,287
1,train,288
1,train,290
1,train,291
1,train,294
1,train,296
1,train,297
1,train,300
1,train,301
1,train,303
1,train,304
1,train,305
1,train,306
1,train,307
1,train,308
1,train,310
1,train,311
1,train,312
1,train,313
1,train,314
1,train,315
1,train,340
1,train,341
1,train,344
1,train,345
1,train,346
1,train,347
1,train,349
1,train,350
1,train,352
1,train,353
1,train,354
1,train,355
1,train,357
1,train,358
1,train,359
1,train,361
1,train,364
1,train,365
1,train,366
1,train,367
1,train,368
1,train,369
1,train,370
1,train,371
1,train,372
1,train,373
1,train,374
1,train,375
1,train,376
1,train,377
1,train,378
1,train,379
1,train,380
1,train,381
1,train,382
1,train,383
1,train,384
1,train,385
1,train,386
1,train,388
1,train,389
1,train,390
1,train,391
1,train,393
1,train,394
1,train,395
1,train,419
1,train,421
1,train,422
1,train,424
1,train,425
1,train,426
1,train,427
1,train,428
1,train,429
1,train,431
1,train,434
1,train,436
1,train,439
1,train,441
1,train,442
1,train,443
1,train,444
1,train,446
1,train,451
1,train,452
1,train,453
1,train,454
1,train,455
1,train,456
1,train,459
1,train,460
1,train,462
1,train,463
1,train,464
1,train,466
1,train,467
1,train,468
1,train,469
1,train,470
1,train,471
1,train,472
1,train,498
1,train,499
1,train,500
1,train,501
1,train,503
1,train,504
1,train,505
1,train,506
1,train,508
1,train,509
1,train,510
1,train,511
1,train,512
1,train,513
1,train,514
1,train,515
1,train,516
1,train,519
1,train,520
1,train,521
1,train,522
1,train,523
1,train,524
1,train,525
1,train,526
1,train,527
1,train,528
1,train,529
1,train,530
1,train,531
1,train,532
1,train,533
1,train,536
1,train,537
1,train,538
1,train,539
1,train,540
1,train,541
1,train,542
1,train,543
1,train,544
1,train,546
1,train,547
1,train,548
1,train,549
1,train,550
1,train,551
1,train,553
1,test,27
1,test,32
1,test,44
1,test,47
1,test,54
1,test,59
1,test,62
1,test,64
1,test,73
1,test,79
1,test,108
1,test,117
1,test,120
1,test,124
1,test,149
1,test,151
1,test,157
1,test,190
1,test,193
1,test,197
1,test,204
1,test,209
1,test,211
1,test,220
1,test,225
1,test,231
1,test,235
1,test,272
1,test,273
1,test,275
1,test,280
1,test,285
1,test,289
1,test,292
1,test,293
1,test,295
1,test,298
1,test,299
1,test,302
1,test,309
1,test,316
1,test,342
1,test,343
1,test,348
1,test,351
1,test,356
1,test,360
1,test,362
1,test,363
1,test,387
1,test,392
1,test,420
1,test,423
1,test,430
1,test,432
1,test,433
1,test,435
1,test,437
1,test,438
1,test,440
1,test,445
1,test,447
1,test,448
1,test,449
1,test,450
1,test,457
1,test,458
1,test,461
1,test,465
1,test,473
1,test,474
1,test,502
1,test,507
1,test,517
1,test,518
1,test,534
1,test,535
1,test,545
1,test,552
2,train,24
2,train,25
2,train,27
2,train,28
2,train,29
2,train,31
2,train,32
2,train,33
2,train,34
2,train,35
2,train,36
2,train,37
2,train,38
2,train,39
2,train,40
2,train,41
2,train,42
2,train,43
2,train,44
2,train,45
2,train,46
2,train,47
2,train,49
2,train,52
2,train,53
2,train,54
2,train,56
2,train,57
2,train,58
2,train,59
2,train,62
2,train,63
2,train,64
2,train,65
2,train,66
2,train,69
2,train,70
2,train,72
2,train,73
2,train,74
2,train,76
2,train,77
2,train,78
2,train,79
2,train,103
2,train,104
2,train,105
2,train,106
2,train,107
2,train,108
2,train,109
2,train,111
2,train,112
2,train,113
2,train,114
2,train,115
2,train,116
2,train,117
2,train,118
2,train,119
2,train,120
2,train,121
2,train,124
2,train,125
2,train,126
2,train,128
2,train,129
2,train,131
2,train,133
2,train,134
2,train,135
2,train,136
2,train,137
2,train,138
2,train,139
2,train,141
2,train,142
2,train,143
2,train,144
2,train,145
2,train,146
2,train,147
2,train,148
2,train,149
2,train,151
2,train,152
2,train,153
2,train,154
2,train,155
2,train,156
2,train,157
2,train,158
2,train,183
2,train,185
2,train,187
2,train,188
2,train,190
2,train,191
2,train,192
2,train,193
2,train,194
2,train,195
2,train,196
2,train,197
2,train,199
2,train,200
2,train,201
2,train,202
2,train,203
2,train,204
2,train,205
2,train,207
2,train,208
2,train,209
2,train,211
2,train,212
2,train,214
2,train,215
2,train,216
2,train,218
2,train,219
2,train,220
2,train,222
2,train,224
2,train,225
2,train,226
2,train,227
2,train,228
2,train,229
2,train,230
2,train,231
2,train,232
2,train,233
2,train,234
2,train,235
2,train,236
2,train,237
2,train,261
2,train,263
2,train,264
2,train,265
2,train,268
2,train,269
2,train,270
2,train,271
2,train,272
2,train,273
2,train,274
2,train,275
2,train,276
2,train,277
2,train,278
2,train,279
2,train,280
2,train,282
2,train,283
2,train,285
2,train,286
2,train,289
2,train,290
2,train,291
2,train,292
2,train,293
2,train,294
2,train,295
2,train,296
2,train,297
2,train,298
2,train,299
2,train,300
2,train,301
2,train,302
2,train,303
2,train,304
2,train,305
2,train,306
2,train,307
2,train,308
2,train,309
2,train,310
2,train,311
2,train,312
2,train,314
2,train,315
2,train,316
2,train,340
2,train,341
2,train,342
2,train,343
2,train,345
2,train,346
2,train,347
2,train,348
2,train,349
2,train,350
2,train,351
2,train,353
2,train,355
2,train,356
2,train,359
2,train,360
2,train,361
2,train,362
2,train,363
2,train,364
2,train,365
2,train,367
2,train,370
2,train,371
2,train,373
2,train,374
2,train,377
2,train,378
2,train,379
2,train,380
2,train,381
2,train,383
2,train,384
2,train,385
2,train,386
2,train,387
2,train,388
2,train,390
2,train,391
2,train,392
2,train,394
2,train,395
2,train,419
2,train,420
2,train,421
2,train,422
2,train,423
2,train,424
2,train,425
2,train,426
2,train,427
2,train,428
2,train,429
2,train,430
2,train,431
2,train,432
2,train,433
2,train,434
2,train,435
2,train,436
2,train,437
2,train,438
2,train,439
2,train,440
2,train,442
2,train,443
2,train,445
2,train,446
2,train,447
2,train,448
2,train,449
2,train,450
2,train,451
2,train,452
2,train,454
2,train,456
2,train,457
2,train,458
2,train,459
2,train,461
2,train,463
2,train,465
2,train,467
2,train,468
2,train,470
2,train,473
2,train,474
2,train,498
2,train,499
2,train,500
2,train,502
2,train,503
2,train,504
2,train,505
2,train,506
2,train,507
2,train,508
2,train,511
2,train,512
2,train,513
2,train,516
2,train,517
2,train,518
2,train,519
2,train,521
2,train,523
2,train,525
2,train,526
2,train,527
2,train,528
2,train,529
2,train,530
2,train,531
2,train,533
2,train,534
2,train,535
2,train,536
2,train,538
2,train,539
2,train,542
2,train,543
2,train,545
2,train,546
2,train,547
2,train,548
2,train,550
2,train,551
2,train,552
2,test,26
2,test,30
2,test,48
2,test,50
2,test,51
2,test,55
2,test,60
2,test,61
2,test,67
2,test,68
2,test,71
2,test,75
2,test,110
2,test,122
2,test,123
2,test,127
2,test,130
2,test,132
2,test,140
2,test,150
2,test,182
2,test,184
2,test,186
2,test,189
2,test,198
2,test,206
2,test,210
2,test,213
2,test,217
2,test,221
2,test,223
2,test,262
2,test,266
2,test,267
2,test,281
2,test,284
2,test,287
2,test,288
2,test,313
2,test,344
2,test,352
2,test,354
2,test,357
2,test,358
2,test,366
2,test,368
2,test,369
2,test,372
2,test,375
2,test,376
2,test,382
2,test,389
2,test,393
2,test,441
2,test,444
2,test,453
2,test,455
2,test,460
2,test,462
2,test,464
2,test,466
2,test,469
2,test,471
2,test,472
2,test,501
2,test,509
2,test,510
2,test,514
2,test,515
2,test,520
2,test,522
2,test,524
2,test,532
2,test,537
2,test,540
2,test,541
2,test,544
2,test,549
2,test,553
3,train,24
3,train,26
3,train,27
3,train,30
3,train,31
3,train,32
3,train,34
3,train,35
3,train,36
3,train,38
3,train,41
3,train,42
3,train,43
3,train,44
3,train,47
3,train,48
3,train,49
3,train,50
3,train,51
3,train,52
3,train,54
3,train,55
3,train,56
3,train,59
3,train,60
3,train,61
3,train,62
3,train,63
3,train,64
3,train,65
3,train,66
3,train,67
3,train,68
3,train,69
3,train,71
3,train,72
3,train,73
3,train,75
3,train,77
3,train,78
3,train,79
3,train,104
3,train,107
3,train,108
3,train,109
3,train,110
3,train,112
3,train,114
3,train,115
3,train,117
3,train,120
3,train,121
3,train,122
3,train,123
3,train,124
3,train,125
3,train,126
3,train,127
3,train,129
3,train,130
3,train,131
3,train,132
3,train,136
3,train,137
3,train,138
3,train,139
3,train,140
3,train,141
3,train,142
3,train,143
3,train,144
3,train,146
3,train,147
3,train,148
3,train,149
3,train,150
3,train,151
3,train,152
3,train,153
3,train,154
3,train,155
3,train,157
3,train,158
3,train,182
3,train,183
3,train,184
3,train,185
3,train,186
3,train,187
3,train,188
3,train,189
3,train,190
3,train,191
3,train,192
3,train,193
3,train,195
3,train,196
3,train,197
3,train,198
3,train,199
3,train,200
3,train,201
3,train,202
3,train,203
3,train,204
3,train,205
3,train,206
3,train,209
3,train,210
3,train,211
3,train,212
3,train,213
3,train,215
3,train,216
3,train,217
3,train,218
3,train,219
3,train,220
3,train,221
3,train,222
3,train,223
3,train,224
3,train,225
3,train,226
3,train,227
3,train,228
3,train,230
3,train,231
3,train,232
3,train,233
3,train,235
3,train,236
3,train,261
3,train,262
3,train,264
3,train,265
3,train,266
3,train,267
3,train,268
3,train,269
3,train,271
3,train,272
3,train,273
3,train,274
3,train,275
3,train,276
3,train,277
3,train,279
3,train,280
3,train,281
3,train,282
3,train,283
3,train,284
3,train,285
3,train,286
3,train,287
3,train,288
3,train,289
3,train,290
3,train,291
3,train,292
3,train,293
3,train,295
3,train,297
3,train,298
3,train,299
3,train,301
3,train,302
3,train,303
3,train,305
3,train,307
3,train,308
3,train,309
3,train,310
3,train,313
3,train,314
3,train,316
3,train,340
3,train,341
3,train,342
3,train,343
3,train,344
3,train,345
3,train,348
3,train,349
3,train,350
3,train,351
3,train,352
3,train,353
3,train,354
3,train,356
3,train,357
3,train,358
3,train,359
3,train,360
3,train,361
3,train,362
3,train,363
3,train,364
3,train,366
3,train,367
3,train,368
3,train,369
3,train,372
3,train,375
3,train,376
3,train,378
3,train,379
3,train,380
3,train,381
3,train,382
3,train,383
3,train,384
3,train,385
3,train,386
3,train,387
3,train,388
3,train,389
3,train,390
3,train,391
3,train,392
3,train,393
3,train,395
3,train,420
3,train,421
3,train,422
3,train,423
3,train,424
3,train,425
3,train,426
3,train,427
3,train,428
3,train,430
3,train,432
3,train,433
3,train,434
3,train,435
3,train,437
3,train,438
3,train,439
3,train,440
3,train,441
3,train,442
3,train,443
3,train,444
3,train,445
3,train,446
3,train,447
3,train,448
3,train,449
3,train,450
3,train,451
3,train,452
3,train,453
3,train,454
3,train,455
3,train,457
3,train,458
3,train,459
3,train,460
3,train,461
3,train,462
3,train,463
3,train,464
3,train,465
3,train,466
3,train,467
3,train,468
3,train,469
3,train,470
3,train,471
3,train,472
3,train,473
3,train,474
3,train,499
3,train,500
3,train,501
3,train,502
3,train,505
3,train,506
3,train,507
3,train,509
3,train,510
3,train,512
3,train,513
3,train,514
3,train,515
3,train,517
3,train,518
3,train,520
3,train,522
3,train,523
3,train,524
3,train,527
3,train,528
3,train,529
3,train,530
3,train,531
3,train,532
3,train,534
3,train,535
3,train,537
3,train,538
3,train,540
3,train,541
3,train,542
3,train,543
3,train,544
3,train,545
3,train,549
3,train,550
3,train,551
3,train,552
3,train,553
3,test,25
3,test,28
3,test,29
3,test,33
3,test,37
3,test,39
3,test,40
3,test,45
3,test,46
3,test,53
3,test,57
3,test,58
3,test,70
3,test,74
3,test,76
3,test,103
3,test,105
3,test,106
3,test,111
3,test,113
3,test,116
3,test,118
3,test,119
3,test,128
3,test,133
3,test,134
3,test,135
3,test,145
3,test,156
3,test,194
3,test,207
3,test,208
3,test,214
3,test,229
3,test,234
3,test,237
3,test,263
3,test,270
3,test,278
3,test,294
3,test,296
3,test,300
3,test,304
3,test,306
3,test,311
3,test,312
3,test,315
3,test,346
3,test,347
3,test,355
3,test,365
3,test,370
3,test,371
3,test,373
3,test,374
3,test,377
3,test,394
3,test,419
3,test,429
3,test,431
3,test,436
3,test,456
3,test,498
3,test,503
3,test,504
3,test,508
3,test,511
3,test,516
3,test,519
3,test,521
3,test,525
3,test,526
3,test,533
3,test,536
3,test,539
3,test,546
3,test,547
3,test,548
4,train,24
4,train,25
4,train,26
4,train,27
