Fold,Split,CaseID
1,train,42
1,train,43
1,train,44
1,train,47
1,train,48
1,train,50
1,train,51
1,train,52
1,train,53
1,train,54
1,train,55
1,train,57
1,train,59
1,train,60
1,train,61
1,train,63
1,train,65
1,train,68
1,train,69
1,train,70
1,train,71
1,train,72
1,train,73
1,train,74
1,train,75
1,train,76
1,train,78
1,train,79
1,train,80
1,train,81
1,train,82
1,train,83
1,train,85
1,train,86
1,train,87
1,train,88
1,train,90
1,train,91
1,train,92
1,train,93
1,train,94
1,train,95
1,train,96
1,train,97
1,train,98
1,train,100
1,train,101
1,train,102
1,train,103
1,train,104
1,train,105
1,train,106
1,train,107
1,train,108
1,train,111
1,train,112
1,train,113
1,train,114
1,train,115
1,train,116
1,train,117
1,train,118
1,train,119
1,train,120
1,train,121
1,train,122
1,train,124
1,train,125
1,train,126
1,train,128
1,train,129
1,train,133
1,train,134
1,train,135
1,train,136
1,train,137
1,train,139
1,train,140
1,train,141
1,train,142
1,train,143
1,train,144
1,train,145
1,train,146
1,train,147
1,train,148
1,train,149
1,train,150
1,train,151
1,train,152
1,train,153
1,train,154
1,train,155
1,train,157
1,train,159
1,train,204
1,train,205
1,train,206
1,train,207
1,train,209
1,train,210
1,train,211
1,train,213
1,train,214
1,train,216
1,train,217
1,train,218
1,train,219
1,train,220
1,train,221
1,train,224
1,train,225
1,train,226
1,train,228
1,train,229
1,train,230
1,train,231
1,train,232
1,train,233
1,train,234
1,train,235
1,train,236
1,train,237
1,train,238
1,train,239
1,train,240
1,train,241
1,train,242
1,train,243
1,train,244
1,train,245
1,train,248
1,train,249
1,train,250
1,train,251
1,train,252
1,train,253
1,train,254
1,train,255
1,train,256
1,train,257
1,train,258
1,train,259
1,train,260
1,train,261
1,train,263
1,train,265
1,train,266
1,train,268
1,train,270
1,train,271
1,train,272
1,train,273
1,train,274
1,train,276
1,train,277
1,train,278
1,train,279
1,train,280
1,train,281
1,train,284
1,train,285
1,train,286
1,train,288
1,train,289
1,train,290
1,train,292
1,train,293
1,train,294
1,train,295
1,train,296
1,train,297
1,train,298
1,train,299
1,train,300
1,train,301
1,train,302
1,train,304
1,train,305
1,train,306
1,train,307
1,train,308
1,train,309
1,train,310
1,train,311
1,train,312
1,train,313
1,train,314
1,train,315
1,train,317
1,train,318
1,train,319
1,train,320
1,train,321
1,train,322
1,train,364
1,train,365
1,train,367
1,train,368
1,train,369
1,train,370
1,train,371
1,train,372
1,train,373
1,train,376
1,train,377
1,train,378
1,train,379
1,train,380
1,train,381
1,train,382
1,train,383
1,train,384
1,train,385
1,train,386
1,train,388
1,train,389
1,train,390
1,train,391
1,train,393
1,train,394
1,train,395
1,train,396
1,train,397
1,train,398
1,train,399
1,train,401
1,train,403
1,train,404
1,train,406
1,train,408
1,train,410
1,train,411
1,train,412
1,train,413
1,train,414
1,train,415
1,train,416
1,train,417
1,train,418
1,train,419
1,train,420
1,train,421
1,train,422
1,train,423
1,train,424
1,train,426
1,train,428
1,train,429
1,train,430
1,train,432
1,train,433
1,train,434
1,train,435
1,train,436
1,train,437
1,train,438
1,train,441
1,train,442
1,train,443
1,train,444
1,train,447
1,train,448
1,train,449
1,train,452
1,train,453
1,train,454
1,train,455
1,train,456
1,train,457
1,train,458
1,train,459
1,train,460
1,train,462
1,train,464
1,train,466
1,train,467
1,train,468
1,train,469
1,train,471
1,train,473
1,train,474
1,train,475
1,train,477
1,train,478
1,train,480
1,train,481
1,train,482
1,train,483
1,train,525
1,train,527
1,train,528
1,train,529
1,train,530
1,train,531
1,train,532
1,train,533
1,train,534
1,train,535
1,train,536
1,train,537
1,train,539
1,train,540
1,train,542
1,train,544
1,train,547
1,train,548
1,train,549
1,train,550
1,train,553
1,train,554
1,train,555
1,train,557
1,train,558
1,train,560
1,train,561
1,train,562
1,train,563
1,train,566
1,train,567
1,train,568
1,train,569
1,train,570
1,train,571
1,train,572
1,train,573
1,train,575
1,train,577
1,train,580
1,train,581
