Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,CaseCount,FaultCaseCount,FeatureColumnsPerWMU,FaultDetectionAccuracy,FaultDetectionPrecision,FaultDetectionRecall,FaultDetectionF1,FalsePositiveRate,FalseNegativeRate,TN,FP,FN,TP,ExactBusAccuracy,OneHopAccuracy,Top3Accuracy,GraphDistanceMAE,EventMacroF1,EventBalancedAccuracy
ieee14,ExtraTrees,Baseline,3,2;6;9,553,392,40,1.0,1.0,1.0,1.0,0.0,0.0,161,0,0,392,1.0,1.0,1.0,0.0,0.9814439946018894,0.9814471243042673
ieee14,RandomForest,Baseline,3,2;6;9,553,392,40,1.0,1.0,1.0,1.0,0.0,0.0,161,0,0,392,1.0,1.0,1.0,0.0,0.9777327935222672,0.9777365491651206
ieee14,ExtraTrees,Baseline+NormVI,3,2;6;9,553,392,44,1.0,1.0,1.0,1.0,0.0,0.0,161,0,0,392,1.0,1.0,1.0,0.0,0.9795909761754164,0.979591836734694
ieee14,RandomForest,Baseline+NormVI,3,2;6;9,553,392,44,1.0,1.0,1.0,1.0,0.0,0.0,161,0,0,392,0.9974489795918368,0.9974489795918368,1.0,0.00510204081632653,0.9795909761754164,0.979591836734694
ieee14,ExtraTrees,Baseline+NormVI+Rank,3,2;6;9,553,392,46,1.0,1.0,1.0,1.0,0.0,0.0,161,0,0,392,1.0,1.0,1.0,0.0,0.9795909761754164,0.979591836734694
ieee14,RandomForest,Baseline+NormVI+Rank,3,2;6;9,553,392,46,1.0,1.0,1.0,1.0,0.0,0.0,161,0,0,392,0.9974489795918368,0.9974489795918368,1.0,0.00510204081632653,0.9795840890876113,0.979591836734694
ieee14,ExtraTrees,SpatialOnly,3,2;6;9,553,392,6,0.9981916817359855,0.9974554707379135,1.0,0.9987261146496815,0.006211180124223602,0.0,160,1,0,392,1.0,1.0,1.0,0.0,0.6872506232811151,0.6786376888417704
ieee14,RandomForest,SpatialOnly,3,2;6;9,553,392,6,1.0,1.0,1.0,1.0,0.0,0.0,161,0,0,392,0.9974489795918368,1.0,0.9974489795918368,0.002551020408163265,0.7040024716609132,0.7046117148157964
ieee14,ExtraTrees,Baseline,5,2;6;9;11;4,553,392,40,1.0,1.0,1.0,1.0,0.0,0.0,161,0,0,392,1.0,1.0,1.0,0.0,0.9851551956815116,0.9851576994434137
ieee14,RandomForest,Baseline,5,2;6;9;11;4,553,392,40,1.0,1.0,1.0,1.0,0.0,0.0,161,0,0,392,1.0,1.0,1.0,0.0,0.9795840890876113,0.979591836734694
