Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,CaseCount,FaultCaseCount,FeatureColumnsPerWMU,FaultDetectionAccuracy,FaultDetectionPrecision,FaultDetectionRecall,FaultDetectionF1,FalsePositiveRate,FalseNegativeRate,TN,FP,FN,TP,ExactBusAccuracy,OneHopAccuracy,Top3Accuracy,GraphDistanceMAE,EventMacroF1,EventBalancedAccuracy
ieee14,ExtraTrees,Baseline,3,2;6;9,553,392,40,1.0,1.0,1.0,1.0,0.0,0.0,161,0,0,392,1.0,1.0,1.0,0.0,0.9814439946018894,0.9814471243042673
ieee14,RandomForest,Baseline,3,2;6;9,553,392,40,1.0,1.0,1.0,1.0,0.0,0.0,161,0,0,392,1.0,1.0,1.0,0.0,0.9777327935222672,0.9777365491651206
ieee14,ExtraTrees,Baseline,5,2;6;9;11;4,553,392,40,1.0,1.0,1.0,1.0,0.0,0.0,161,0,0,392,1.0,1.0,1.0,0.0,0.9851551956815116,0.9851576994434137
ieee14,RandomForest,Baseline,5,2;6;9;11;4,553,392,40,1.0,1.0,1.0,1.0,0.0,0.0,161,0,0,392,1.0,1.0,1.0,0.0,0.9795840890876113,0.979591836734694
ieee14,ExtraTrees,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,553,392,40,1.0,1.0,1.0,1.0,0.0,0.0,161,0,0,392,1.0,1.0,1.0,0.0,0.9888663967611336,0.9888682745825603
ieee14,RandomForest,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,553,392,40,1.0,1.0,1.0,1.0,0.0,0.0,161,0,0,392,1.0,1.0,1.0,0.0,0.9795840890876113,0.979591836734694
ieee30,ExtraTrees,Baseline,3,6;1;2,1127,840,40,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,RandomForest,Baseline,3,6;1;2,1127,840,40,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,ExtraTrees,Baseline,5,6;1;2;3;4,1127,840,40,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,RandomForest,Baseline,5,6;1;2;3;4,1127,840,40,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,ExtraTrees,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1127,840,40,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
ieee30,RandomForest,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1127,840,40,1.0,1.0,1.0,1.0,0.0,0.0,287,0,0,840,1.0,1.0,1.0,0.0,1.0,1.0
