CaseID,SelectedWMUCount,DeltaI_sum,DeltaI_max,DeltaV_sum,DeltaV_max,SmallDeltaISum,SmallDeltaVSum,Network,WMUCount,SelectedWMUBuses
1,3,1.0618430180444846e-12,5.539683615509041e-13,0.31359905537060084,0.2882473093012272,False,False,ieee14,3,2;6;9
2,3,6.100939411867581e-08,5.129457241449317e-08,0.9362322233785438,0.6202765173572714,False,False,ieee14,3,2;6;9
3,3,1.6808310685765706e-08,1.0418144097624914e-08,0.9440238626049755,0.38584303052425484,False,False,ieee14,3,2;6;9
4,3,2.4909154401821423e-08,1.3591373141152681e-08,1.1359281212663026,0.5241360862479085,False,False,ieee14,3,2;6;9
5,3,2.574541285778241e-08,1.3794609266193461e-08,0.7832450386193823,0.4394210763413513,False,False,ieee14,3,2;6;9
6,3,2.749866924062349e-08,2.123400719531808e-08,1.3451269236607235,0.6866104114553112,False,False,ieee14,3,2;6;9
7,3,4.826112179918224e-08,3.565768195464462e-08,2.3760428737734633,1.8999744864786525,False,False,ieee14,3,2;6;9
8,3,1.1804384072300576e-08,7.0016462179080915e-09,1.5151141085886128,1.096020731310578,False,False,ieee14,3,2;6;9
9,3,1.242393778184698e-08,8.676668115888997e-09,1.0450075477465348,0.5942626900538668,False,False,ieee14,3,2;6;9
10,3,1.1097610052450844e-08,8.544256059527221e-09,0.7788477946181698,0.3802812002129652,False,False,ieee14,3,2;6;9
11,3,1.4882109523689974e-08,1.1183242709808848e-08,0.9720814259246794,0.4470968188516129,False,False,ieee14,3,2;6;9
12,3,8.401232291211464e-09,5.51061082742879e-09,0.980517010424607,0.6570768828483906,False,False,ieee14,3,2;6;9
13,3,6.100921275995534e-08,5.129435615938584e-08,0.9363991669848415,0.6205440776331586,False,False,ieee14,3,2;6;9
14,3,1.6808103375800253e-08,1.0418008487754301e-08,0.9439048707464741,0.38576555311484917,False,False,ieee14,3,2;6;9
15,3,2.4909610233462223e-08,1.359162241371871e-08,1.135890512527534,0.5240742266370881,False,False,ieee14,3,2;6;9
16,3,2.5746119225416652e-08,1.379509466443258e-08,0.7846053017449517,0.43940623880818847,False,False,ieee14,3,2;6;9
17,3,2.749899614841883e-08,2.1234254302223577e-08,1.3458979325698368,0.6866233103015905,False,False,ieee14,3,2;6;9
