Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,FaultDetectionAccuracy,FaultDetectionPrecision,FaultDetectionRecall,FaultDetectionF1,FalsePositiveRate,FalseNegativeRate
ieee14,ExtraTrees,Baseline,3,2;6;9,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,RandomForest,Baseline,3,2;6;9,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,ExtraTrees,Baseline+NormVI,3,2;6;9,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,RandomForest,Baseline+NormVI,3,2;6;9,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,ExtraTrees,Baseline+NormVI+Rank,3,2;6;9,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,RandomForest,Baseline+NormVI+Rank,3,2;6;9,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,ExtraTrees,SpatialOnly,3,2;6;9,0.9981916817359855,0.9974554707379135,1.0,0.9987261146496815,0.006211180124223602,0.0
ieee14,RandomForest,SpatialOnly,3,2;6;9,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,ExtraTrees,Baseline,5,2;6;9;11;4,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,RandomForest,Baseline,5,2;6;9;11;4,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,ExtraTrees,Baseline+NormVI,5,2;6;9;11;4,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,RandomForest,Baseline+NormVI,5,2;6;9;11;4,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,ExtraTrees,Baseline+NormVI+Rank,5,2;6;9;11;4,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,RandomForest,Baseline+NormVI+Rank,5,2;6;9;11;4,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,ExtraTrees,SpatialOnly,5,2;6;9;11;4,0.9981916817359855,0.9974554707379135,1.0,0.9987261146496815,0.006211180124223602,0.0
ieee14,RandomForest,SpatialOnly,5,2;6;9;11;4,0.9963833634719711,1.0,0.9948979591836735,0.9974424552429667,0.0,0.00510204081632653
ieee14,ExtraTrees,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,RandomForest,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,ExtraTrees,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,RandomForest,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,ExtraTrees,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1.0,1.0,1.0,1.0,0.0,0.0
ieee14,RandomForest,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1.0,1.0,1.0,1.0,0.0,0.0
