Network,WMUCount,FeatureSet,FeatureColumnsPerWMU,FeatureColumns,ContainsFaultBusFeature,ContainsLabelFeature
ieee14,3,Baseline,40,v_pre_rms_A;v_event_rms_A;v_post_rms_A;i_pre_rms_A;i_event_rms_A;i_post_rms_A;v_pre_rms_B;v_event_rms_B;v_post_rms_B;i_pre_rms_B;i_event_rms_B;i_post_rms_B;v_pre_rms_C;v_event_rms_C;v_post_rms_C;i_pre_rms_C;i_event_rms_C;i_post_rms_C;voltage_sag_ratio;voltage_phase_rms_mean;voltage_phase_rms_std;event_min_voltage;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;event_max_current;pre_to_event_voltage_change;pre_to_event_current_change;pre_to_post_voltage_change;pre_to_post_current_change;V1;V2_over_V1;V0_over_V1;I1;I2_over_I1;I0_over_I1;sso_frequency_energy;lowfreq_5_45_energy;fundamental_magnitude;dominant_lowfreq_component,False,False
ieee14,3,Baseline+NormVI,44,v_pre_rms_A;v_event_rms_A;v_post_rms_A;i_pre_rms_A;i_event_rms_A;i_post_rms_A;v_pre_rms_B;v_event_rms_B;v_post_rms_B;i_pre_rms_B;i_event_rms_B;i_post_rms_B;v_pre_rms_C;v_event_rms_C;v_post_rms_C;i_pre_rms_C;i_event_rms_C;i_post_rms_C;voltage_sag_ratio;voltage_phase_rms_mean;voltage_phase_rms_std;event_min_voltage;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;event_max_current;pre_to_event_voltage_change;pre_to_event_current_change;pre_to_post_voltage_change;pre_to_post_current_change;V1;V2_over_V1;V0_over_V1;I1;I2_over_I1;I0_over_I1;sso_frequency_energy;lowfreq_5_45_energy;fundamental_magnitude;dominant_lowfreq_component;I_rel_sum;I_rel_max;V_rel_sum;V_rel_max,False,False
ieee14,3,Baseline+NormVI+Rank,46,v_pre_rms_A;v_event_rms_A;v_post_rms_A;i_pre_rms_A;i_event_rms_A;i_post_rms_A;v_pre_rms_B;v_event_rms_B;v_post_rms_B;i_pre_rms_B;i_event_rms_B;i_post_rms_B;v_pre_rms_C;v_event_rms_C;v_post_rms_C;i_pre_rms_C;i_event_rms_C;i_post_rms_C;voltage_sag_ratio;voltage_phase_rms_mean;voltage_phase_rms_std;event_min_voltage;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;event_max_current;pre_to_event_voltage_change;pre_to_event_current_change;pre_to_post_voltage_change;pre_to_post_current_change;V1;V2_over_V1;V0_over_V1;I1;I2_over_I1;I0_over_I1;sso_frequency_energy;lowfreq_5_45_energy;fundamental_magnitude;dominant_lowfreq_component;I_rel_sum;I_rel_max;V_rel_sum;V_rel_max;I_spatial_rank_norm;V_spatial_rank_norm,False,False
ieee14,3,SpatialOnly,6,I_rel_sum;I_rel_max;V_rel_sum;V_rel_max;I_spatial_rank_norm;V_spatial_rank_norm,False,False
ieee14,5,Baseline,40,v_pre_rms_A;v_event_rms_A;v_post_rms_A;i_pre_rms_A;i_event_rms_A;i_post_rms_A;v_pre_rms_B;v_event_rms_B;v_post_rms_B;i_pre_rms_B;i_event_rms_B;i_post_rms_B;v_pre_rms_C;v_event_rms_C;v_post_rms_C;i_pre_rms_C;i_event_rms_C;i_post_rms_C;voltage_sag_ratio;voltage_phase_rms_mean;voltage_phase_rms_std;event_min_voltage;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;event_max_current;pre_to_event_voltage_change;pre_to_event_current_change;pre_to_post_voltage_change;pre_to_post_current_change;V1;V2_over_V1;V0_over_V1;I1;I2_over_I1;I0_over_I1;sso_frequency_energy;lowfreq_5_45_energy;fundamental_magnitude;dominant_lowfreq_component,False,False
ieee14,5,Baseline+NormVI,44,v_pre_rms_A;v_event_rms_A;v_post_rms_A;i_pre_rms_A;i_event_rms_A;i_post_rms_A;v_pre_rms_B;v_event_rms_B;v_post_rms_B;i_pre_rms_B;i_event_rms_B;i_post_rms_B;v_pre_rms_C;v_event_rms_C;v_post_rms_C;i_pre_rms_C;i_event_rms_C;i_post_rms_C;voltage_sag_ratio;voltage_phase_rms_mean;voltage_phase_rms_std;event_min_voltage;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;event_max_current;pre_to_event_voltage_change;pre_to_event_current_change;pre_to_post_voltage_change;pre_to_post_current_change;V1;V2_over_V1;V0_over_V1;I1;I2_over_I1;I0_over_I1;sso_frequency_energy;lowfreq_5_45_energy;fundamental_magnitude;dominant_lowfreq_component;I_rel_sum;I_rel_max;V_rel_sum;V_rel_max,False,False
ieee14,5,Baseline+NormVI+Rank,46,v_pre_rms_A;v_event_rms_A;v_post_rms_A;i_pre_rms_A;i_event_rms_A;i_post_rms_A;v_pre_rms_B;v_event_rms_B;v_post_rms_B;i_pre_rms_B;i_event_rms_B;i_post_rms_B;v_pre_rms_C;v_event_rms_C;v_post_rms_C;i_pre_rms_C;i_event_rms_C;i_post_rms_C;voltage_sag_ratio;voltage_phase_rms_mean;voltage_phase_rms_std;event_min_voltage;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;event_max_current;pre_to_event_voltage_change;pre_to_event_current_change;pre_to_post_voltage_change;pre_to_post_current_change;V1;V2_over_V1;V0_over_V1;I1;I2_over_I1;I0_over_I1;sso_frequency_energy;lowfreq_5_45_energy;fundamental_magnitude;dominant_lowfreq_component;I_rel_sum;I_rel_max;V_rel_sum;V_rel_max;I_spatial_rank_norm;V_spatial_rank_norm,False,False
ieee14,5,SpatialOnly,6,I_rel_sum;I_rel_max;V_rel_sum;V_rel_max;I_spatial_rank_norm;V_spatial_rank_norm,False,False
ieee14,14,Baseline,40,v_pre_rms_A;v_event_rms_A;v_post_rms_A;i_pre_rms_A;i_event_rms_A;i_post_rms_A;v_pre_rms_B;v_event_rms_B;v_post_rms_B;i_pre_rms_B;i_event_rms_B;i_post_rms_B;v_pre_rms_C;v_event_rms_C;v_post_rms_C;i_pre_rms_C;i_event_rms_C;i_post_rms_C;voltage_sag_ratio;voltage_phase_rms_mean;voltage_phase_rms_std;event_min_voltage;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;event_max_current;pre_to_event_voltage_change;pre_to_event_current_change;pre_to_post_voltage_change;pre_to_post_current_change;V1;V2_over_V1;V0_over_V1;I1;I2_over_I1;I0_over_I1;sso_frequency_energy;lowfreq_5_45_energy;fundamental_magnitude;dominant_lowfreq_component,False,False
ieee14,14,Baseline+NormVI,44,v_pre_rms_A;v_event_rms_A;v_post_rms_A;i_pre_rms_A;i_event_rms_A;i_post_rms_A;v_pre_rms_B;v_event_rms_B;v_post_rms_B;i_pre_rms_B;i_event_rms_B;i_post_rms_B;v_pre_rms_C;v_event_rms_C;v_post_rms_C;i_pre_rms_C;i_event_rms_C;i_post_rms_C;voltage_sag_ratio;voltage_phase_rms_mean;voltage_phase_rms_std;event_min_voltage;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;event_max_current;pre_to_event_voltage_change;pre_to_event_current_change;pre_to_post_voltage_change;pre_to_post_current_change;V1;V2_over_V1;V0_over_V1;I1;I2_over_I1;I0_over_I1;sso_frequency_energy;lowfreq_5_45_energy;fundamental_magnitude;dominant_lowfreq_component;I_rel_sum;I_rel_max;V_rel_sum;V_rel_max,False,False
