Network,Model,FeatureSet,WMUCount,FaultDetectionRecall,FalsePositiveRate,ExactBusAccuracy,OneHopAccuracy,GraphDistanceMAE
ieee14,ExtraTrees,Baseline,3,1.0,0.0,1.0,1.0,0.0
ieee14,RandomForest,Baseline,3,1.0,0.0,1.0,1.0,0.0
ieee14,ExtraTrees,Baseline+NormVI,3,1.0,0.0,1.0,1.0,0.0
ieee14,RandomForest,Baseline+NormVI,3,1.0,0.0,0.9974489795918368,0.9974489795918368,0.00510204081632653
ieee14,ExtraTrees,Baseline+NormVI+Rank,3,1.0,0.0,1.0,1.0,0.0
ieee14,RandomForest,Baseline+NormVI+Rank,3,1.0,0.0,0.9974489795918368,0.9974489795918368,0.00510204081632653
ieee14,ExtraTrees,SpatialOnly,3,1.0,0.006211180124223602,1.0,1.0,0.0
ieee14,RandomForest,SpatialOnly,3,1.0,0.0,0.9974489795918368,1.0,0.002551020408163265
ieee14,ExtraTrees,Baseline,5,1.0,0.0,1.0,1.0,0.0
ieee14,RandomForest,Baseline,5,1.0,0.0,1.0,1.0,0.0
ieee14,ExtraTrees,Baseline+NormVI,5,1.0,0.0,1.0,1.0,0.0
ieee14,RandomForest,Baseline+NormVI,5,1.0,0.0,1.0,1.0,0.0
ieee14,ExtraTrees,Baseline+NormVI+Rank,5,1.0,0.0,1.0,1.0,0.0
ieee14,RandomForest,Baseline+NormVI+Rank,5,1.0,0.0,1.0,1.0,0.0
ieee14,ExtraTrees,SpatialOnly,5,1.0,0.006211180124223602,1.0,1.0,0.0
ieee14,RandomForest,SpatialOnly,5,0.9948979591836735,0.0,1.0,1.0,0.0
ieee14,ExtraTrees,Baseline,14,1.0,0.0,1.0,1.0,0.0
ieee14,RandomForest,Baseline,14,1.0,0.0,1.0,1.0,0.0
ieee14,ExtraTrees,Baseline+NormVI,14,1.0,0.0,1.0,1.0,0.0
ieee14,RandomForest,Baseline+NormVI,14,1.0,0.0,0.9974489795918368,1.0,0.002551020408163265
ieee14,ExtraTrees,Baseline+NormVI+Rank,14,1.0,0.0,1.0,1.0,0.0
ieee14,RandomForest,Baseline+NormVI+Rank,14,1.0,0.0,1.0,1.0,0.0
ieee14,ExtraTrees,SpatialOnly,14,1.0,0.006211180124223602,0.9974489795918368,1.0,0.002551020408163265
ieee14,RandomForest,SpatialOnly,14,0.9948979591836735,0.0,0.9974489795918368,1.0,0.002551020408163265
ieee30,ExtraTrees,Baseline,3,1.0,0.0,1.0,1.0,0.0
ieee30,RandomForest,Baseline,3,1.0,0.0,1.0,1.0,0.0
ieee30,ExtraTrees,Baseline+NormVI,3,1.0,0.0,1.0,1.0,0.0
ieee30,RandomForest,Baseline+NormVI,3,1.0,0.0,1.0,1.0,0.0
ieee30,ExtraTrees,Baseline+NormVI+Rank,3,1.0,0.0,1.0,1.0,0.0
ieee30,RandomForest,Baseline+NormVI+Rank,3,1.0,0.0,1.0,1.0,0.0
ieee30,ExtraTrees,SpatialOnly,3,0.9916666666666667,0.07665505226480836,0.9785714285714285,0.9880952380952381,0.04880952380952381
ieee30,RandomForest,SpatialOnly,3,0.9952380952380953,0.06620209059233449,0.969047619047619,0.9857142857142858,0.05714285714285714
ieee30,ExtraTrees,Baseline,5,1.0,0.0,1.0,1.0,0.0
ieee30,RandomForest,Baseline,5,1.0,0.0,1.0,1.0,0.0
ieee30,ExtraTrees,Baseline+NormVI,5,1.0,0.0,1.0,1.0,0.0
ieee30,RandomForest,Baseline+NormVI,5,1.0,0.0,1.0,1.0,0.0
ieee30,ExtraTrees,Baseline+NormVI+Rank,5,1.0,0.0,1.0,1.0,0.0
ieee30,RandomForest,Baseline+NormVI+Rank,5,1.0,0.0,1.0,1.0,0.0
ieee30,ExtraTrees,SpatialOnly,5,0.9964285714285714,0.010452961672473868,0.9880952380952381,0.9988095238095238,0.013095238095238096
ieee30,RandomForest,SpatialOnly,5,0.9952380952380953,0.006968641114982578,0.9880952380952381,0.9988095238095238,0.013095238095238096
ieee30,ExtraTrees,Baseline,30,1.0,0.0,1.0,1.0,0.0
ieee30,RandomForest,Baseline,30,1.0,0.0,1.0,1.0,0.0
ieee30,ExtraTrees,Baseline+NormVI,30,1.0,0.0,1.0,1.0,0.0
ieee30,RandomForest,Baseline+NormVI,30,1.0,0.0,1.0,1.0,0.0
ieee30,ExtraTrees,Baseline+NormVI+Rank,30,1.0,0.0,1.0,1.0,0.0
ieee30,RandomForest,Baseline+NormVI+Rank,30,1.0,0.0,1.0,1.0,0.0
ieee30,ExtraTrees,SpatialOnly,30,0.9952380952380953,0.003484320557491289,1.0,1.0,0.0
ieee30,RandomForest,SpatialOnly,30,0.9964285714285714,0.006968641114982578,1.0,1.0,0.0
