Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,ExactBusAccuracy,OneHopAccuracy,GraphDistanceMAE,Top3Accuracy
ieee14,ExtraTrees,Baseline,3,2;6;9,1.0,1.0,0.0,1.0
ieee14,RandomForest,Baseline,3,2;6;9,1.0,1.0,0.0,1.0
ieee14,ExtraTrees,Baseline+NormVI,3,2;6;9,1.0,1.0,0.0,1.0
ieee14,RandomForest,Baseline+NormVI,3,2;6;9,0.9974489795918368,0.9974489795918368,0.00510204081632653,1.0
ieee14,ExtraTrees,Baseline+NormVI+Rank,3,2;6;9,1.0,1.0,0.0,1.0
ieee14,RandomForest,Baseline+NormVI+Rank,3,2;6;9,0.9974489795918368,0.9974489795918368,0.00510204081632653,1.0
ieee14,ExtraTrees,SpatialOnly,3,2;6;9,1.0,1.0,0.0,1.0
ieee14,RandomForest,SpatialOnly,3,2;6;9,0.9974489795918368,1.0,0.002551020408163265,0.9974489795918368
ieee14,ExtraTrees,Baseline,5,2;6;9;11;4,1.0,1.0,0.0,1.0
ieee14,RandomForest,Baseline,5,2;6;9;11;4,1.0,1.0,0.0,1.0
ieee14,ExtraTrees,Baseline+NormVI,5,2;6;9;11;4,1.0,1.0,0.0,1.0
ieee14,RandomForest,Baseline+NormVI,5,2;6;9;11;4,1.0,1.0,0.0,1.0
ieee14,ExtraTrees,Baseline+NormVI+Rank,5,2;6;9;11;4,1.0,1.0,0.0,1.0
ieee14,RandomForest,Baseline+NormVI+Rank,5,2;6;9;11;4,1.0,1.0,0.0,1.0
ieee14,ExtraTrees,SpatialOnly,5,2;6;9;11;4,1.0,1.0,0.0,1.0
ieee14,RandomForest,SpatialOnly,5,2;6;9;11;4,1.0,1.0,0.0,1.0
ieee14,ExtraTrees,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1.0,1.0,0.0,1.0
ieee14,RandomForest,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1.0,1.0,0.0,1.0
ieee14,ExtraTrees,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1.0,1.0,0.0,1.0
ieee14,RandomForest,Baseline+NormVI,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,0.9974489795918368,1.0,0.002551020408163265,1.0
ieee14,ExtraTrees,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1.0,1.0,0.0,1.0
ieee14,RandomForest,Baseline+NormVI+Rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1.0,1.0,0.0,1.0
ieee14,ExtraTrees,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,0.9974489795918368,1.0,0.002551020408163265,1.0
ieee14,RandomForest,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,0.9974489795918368,1.0,0.002551020408163265,1.0
ieee30,ExtraTrees,Baseline,3,6;1;2,1.0,1.0,0.0,1.0
ieee30,RandomForest,Baseline,3,6;1;2,1.0,1.0,0.0,1.0
ieee30,ExtraTrees,Baseline+NormVI,3,6;1;2,1.0,1.0,0.0,1.0
ieee30,RandomForest,Baseline+NormVI,3,6;1;2,1.0,1.0,0.0,1.0
ieee30,ExtraTrees,Baseline+NormVI+Rank,3,6;1;2,1.0,1.0,0.0,1.0
ieee30,RandomForest,Baseline+NormVI+Rank,3,6;1;2,1.0,1.0,0.0,1.0
