NetworkID,Model,Variant,WMUCount,SelectedWMUBuses,TestResistanceOhm,TrainCases,TestCases,FaultTestCases,FeatureColumnsPerWMU,Accuracy,Precision,Recall,F1,FalsePositiveRate,FalseNegativeRate,TN,FP,FN,TP,ExactBusAccuracy,OneHopAccuracy,GraphDistanceMAE,CoarseCategoryMacroF1,FaultType4ClassMacroF1
ieee14,ExtraTrees,Baseline,3,11;6;1,10.0,405,204,180,40,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.24444444444444444,0.24444444444444444,1.8666666666666667,0.694948476702509,0.5871156120638675
ieee14,RandomForest,Baseline,3,11;6;1,10.0,405,204,180,40,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.2,0.2,2.0,0.13333333333333333,0.19047619047619047
ieee14,ExtraTrees,A_voltage_only,3,11;6;1,10.0,405,204,180,18,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.2,0.2,2.0,0.5576923076923077,0.1
ieee14,RandomForest,A_voltage_only,3,11;6;1,10.0,405,204,180,18,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.2,0.2,2.0,0.13333333333333333,0.1
ieee14,ExtraTrees,B_current_only,3,11;6;1,10.0,405,204,180,18,0.7352941176470589,1.0,0.7,0.8235294117647058,0.0,0.3,24,0,54,126,0.5,0.55,1.2,0.3737373737373737,0.2683982683982684
ieee14,RandomForest,B_current_only,3,11;6;1,10.0,405,204,180,18,0.7794117647058824,1.0,0.75,0.8571428571428571,0.0,0.25,24,0,45,135,0.3,0.3,1.65,0.13333333333333333,0.1
ieee14,ExtraTrees,C_existing_VC,3,11;6;1,10.0,405,204,180,36,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.2,0.2,2.0,0.25603864734299514,0.18458117123795403
ieee14,RandomForest,C_existing_VC,3,11;6;1,10.0,405,204,180,36,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.2,0.2,2.0,0.13333333333333333,0.1
ieee14,ExtraTrees,D_existing_norm,3,11;6;1,10.0,405,204,180,46,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,1.0,1.0,0.0,0.7060965823748483,0.5709474082218496
ieee14,RandomForest,D_existing_norm,3,11;6;1,10.0,405,204,180,46,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.9888888888888889,0.9888888888888889,0.022222222222222223,0.17865296803652966,0.32830497868097835
ieee14,ExtraTrees,E_existing_norm_rank,3,11;6;1,10.0,405,204,180,50,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.8555555555555555,0.8555555555555555,0.28888888888888886,0.6370066397959383,0.31311496832913105
ieee14,RandomForest,E_existing_norm_rank,3,11;6;1,10.0,405,204,180,50,1.0,1.0,1.0,1.0,0.0,0.0,24,0,0,180,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.13333333333333333,0.1
