NetworkID,WMUCount,Resistance,Variant,FaultRecall,FalsePositiveRate,ExactBusAccuracy,OneHopAccuracy,GraphDistanceMAE,CoarseCategoryMacroF1
ieee14,3,10.0,Baseline,1.0,0.0,0.24444444444444444,0.24444444444444444,1.8666666666666667,0.694948476702509
ieee14,3,10.0,D_existing_norm,1.0,0.0,1.0,1.0,0.0,0.7060965823748483
ieee14,3,10.0,E_existing_norm_rank,1.0,0.0,0.8555555555555555,0.8555555555555555,0.28888888888888886,0.6370066397959383
ieee14,3,10.0,F_existing_norm_rank_vi,1.0,0.0,0.8,0.8,0.4,0.6114198344824122
ieee14,5,10.0,Baseline,1.0,0.0,0.36666666666666664,0.45,1.3555555555555556,0.6038994481282983
ieee14,5,10.0,D_existing_norm,1.0,0.0,1.0,1.0,0.0,0.6390375168184236
ieee14,5,10.0,E_existing_norm_rank,1.0,0.0,1.0,1.0,0.0,0.6564746520762644
ieee14,5,10.0,F_existing_norm_rank_vi,1.0,0.0,1.0,1.0,0.0,0.9063731512624787
ieee14,14,10.0,Baseline,1.0,0.0,0.2,0.2,2.0,0.5282324397893366
ieee14,14,10.0,D_existing_norm,1.0,0.0,0.7888888888888889,0.9777777777777777,0.23333333333333334,0.5943031891655745
ieee14,14,10.0,E_existing_norm_rank,1.0,0.0,0.9944444444444445,0.9944444444444445,0.011111111111111112,0.5938540859878579
ieee14,14,10.0,F_existing_norm_rank_vi,1.0,0.0,1.0,1.0,0.0,0.7380087735086623
ieee30,3,10.0,Baseline,0.9666666666666667,0.0,0.8055555555555556,0.8055555555555556,0.7055555555555556,0.5990842490842491
ieee30,3,10.0,D_existing_norm,0.9833333333333333,0.0,0.95,0.95,0.15,0.6481387047424784
ieee30,3,10.0,E_existing_norm_rank,0.9388888888888889,0.0,0.95,0.95,0.15,0.4227537168713639
ieee30,3,10.0,F_existing_norm_rank_vi,0.9833333333333333,0.0,0.95,0.95,0.15,0.5518207282913165
ieee30,5,10.0,Baseline,0.9888888888888889,0.0,0.6333333333333333,0.6333333333333333,1.5833333333333333,0.49442749385541146
ieee30,5,10.0,D_existing_norm,0.9055555555555556,0.0,1.0,1.0,0.0,0.35521885521885527
ieee30,5,10.0,E_existing_norm_rank,0.8833333333333333,0.0,1.0,1.0,0.0,0.21541767391888259
ieee30,5,10.0,F_existing_norm_rank_vi,0.9055555555555556,0.0,1.0,1.0,0.0,0.26579078062215
ieee30,30,10.0,Baseline,1.0,0.0,0.65,0.65,1.5,0.1490219016052512
ieee30,30,10.0,D_existing_norm,1.0,0.0,1.0,1.0,0.0,0.43951697139109075
ieee30,30,10.0,E_existing_norm_rank,1.0,0.0,1.0,1.0,0.0,0.1857246445348214
ieee30,30,10.0,F_existing_norm_rank_vi,1.0,0.0,1.0,1.0,0.0,0.37512881722954905
