NetworkID,Model,Variant,WMUCount,SelectedWMUBuses,ExactBusAccuracy,OneHopAccuracy,GraphDistanceMAE,TrainCases,TestCases
ieee14,ExtraTrees,Baseline,3,11;6;1,0.24444444444444444,0.24444444444444444,1.8666666666666667,405,204
ieee14,RandomForest,Baseline,3,11;6;1,0.2,0.2,2.0,405,204
ieee14,ExtraTrees,A_voltage_only,3,11;6;1,0.2,0.2,2.0,405,204
ieee14,RandomForest,A_voltage_only,3,11;6;1,0.2,0.2,2.0,405,204
ieee14,ExtraTrees,B_current_only,3,11;6;1,0.5,0.55,1.2,405,204
ieee14,RandomForest,B_current_only,3,11;6;1,0.3,0.3,1.65,405,204
ieee14,ExtraTrees,C_existing_VC,3,11;6;1,0.2,0.2,2.0,405,204
ieee14,RandomForest,C_existing_VC,3,11;6;1,0.2,0.2,2.0,405,204
ieee14,ExtraTrees,D_existing_norm,3,11;6;1,1.0,1.0,0.0,405,204
ieee14,RandomForest,D_existing_norm,3,11;6;1,0.9888888888888889,0.9888888888888889,0.022222222222222223,405,204
ieee14,ExtraTrees,E_existing_norm_rank,3,11;6;1,0.8555555555555555,0.8555555555555555,0.28888888888888886,405,204
ieee14,RandomForest,E_existing_norm_rank,3,11;6;1,0.8333333333333334,0.8333333333333334,0.3333333333333333,405,204
ieee14,ExtraTrees,F_existing_norm_rank_vi,3,11;6;1,0.8,0.8,0.4,405,204
ieee14,RandomForest,F_existing_norm_rank_vi,3,11;6;1,0.8,0.8,0.4,405,204
ieee14,ExtraTrees,Baseline,5,11;6;1;14;2,0.36666666666666664,0.45,1.3555555555555556,405,204
ieee14,RandomForest,Baseline,5,11;6;1;14;2,0.22777777777777777,0.22777777777777777,1.9166666666666667,405,204
ieee14,ExtraTrees,A_voltage_only,5,11;6;1;14;2,0.2,0.2,2.0,405,204
ieee14,RandomForest,A_voltage_only,5,11;6;1;14;2,0.2,0.2,2.0,405,204
ieee14,ExtraTrees,B_current_only,5,11;6;1;14;2,0.45,0.6,1.1,405,204
ieee14,RandomForest,B_current_only,5,11;6;1;14;2,0.38333333333333336,0.5333333333333333,1.2833333333333334,405,204
ieee14,ExtraTrees,C_existing_VC,5,11;6;1;14;2,0.22777777777777777,0.22777777777777777,1.9166666666666667,405,204
ieee14,RandomForest,C_existing_VC,5,11;6;1;14;2,0.25,0.25,1.85,405,204
ieee14,ExtraTrees,D_existing_norm,5,11;6;1;14;2,1.0,1.0,0.0,405,204
ieee14,RandomForest,D_existing_norm,5,11;6;1;14;2,1.0,1.0,0.0,405,204
ieee14,ExtraTrees,E_existing_norm_rank,5,11;6;1;14;2,1.0,1.0,0.0,405,204
ieee14,RandomForest,E_existing_norm_rank,5,11;6;1;14;2,1.0,1.0,0.0,405,204
ieee14,ExtraTrees,F_existing_norm_rank_vi,5,11;6;1;14;2,1.0,1.0,0.0,405,204
ieee14,RandomForest,F_existing_norm_rank_vi,5,11;6;1;14;2,0.9777777777777777,0.9777777777777777,0.06666666666666667,405,204
ieee14,ExtraTrees,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,0.2,0.2,2.0,405,204
ieee14,RandomForest,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,0.2,0.25,1.9388888888888889,405,204
ieee14,ExtraTrees,A_voltage_only,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,0.2,0.2,2.0,405,204
ieee14,RandomForest,A_voltage_only,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,0.2,0.2,2.0,405,204
ieee14,ExtraTrees,B_current_only,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,0.2,0.2,2.0166666666666666,405,204
ieee14,RandomForest,B_current_only,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,0.2,0.25,1.9555555555555555,405,204
ieee14,ExtraTrees,C_existing_VC,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,0.2,0.2,2.0,405,204
ieee14,RandomForest,C_existing_VC,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,0.2,0.2,2.0722222222222224,405,204
ieee14,ExtraTrees,D_existing_norm,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,0.7888888888888889,0.9777777777777777,0.23333333333333334,405,204
ieee14,RandomForest,D_existing_norm,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,0.9277777777777778,0.9666666666666667,0.10555555555555556,405,204
ieee14,ExtraTrees,E_existing_norm_rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,0.9944444444444445,0.9944444444444445,0.011111111111111112,405,204
ieee14,RandomForest,E_existing_norm_rank,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1.0,1.0,0.0,405,204
ieee14,ExtraTrees,F_existing_norm_rank_vi,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1.0,1.0,0.0,405,204
ieee14,RandomForest,F_existing_norm_rank_vi,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,0.9944444444444445,0.9944444444444445,0.011111111111111112,405,204
ieee30,ExtraTrees,Baseline,3,1;10;6,0.8055555555555556,0.8055555555555556,0.7055555555555556,442,221
ieee30,RandomForest,Baseline,3,1;10;6,0.5,0.5,1.75,442,221
ieee30,ExtraTrees,A_voltage_only,3,1;10;6,0.8,0.8,0.75,442,221
ieee30,RandomForest,A_voltage_only,3,1;10;6,0.8,0.8,0.75,442,221
ieee30,ExtraTrees,B_current_only,3,1;10;6,0.25,0.25,2.683333333333333,442,221
ieee30,RandomForest,B_current_only,3,1;10;6,0.20555555555555555,0.20555555555555555,3.216666666666667,442,221
ieee30,ExtraTrees,C_existing_VC,3,1;10;6,0.8,0.8,0.75,442,221
ieee30,RandomForest,C_existing_VC,3,1;10;6,0.5166666666666667,0.5166666666666667,1.6444444444444444,442,221
