NetworkID,Model,Variant,WMUCount,TrueFaultBus,Cases,ExactBusAccuracy
ieee14,ExtraTrees,A_voltage_only,3,2,36,1.0
ieee14,ExtraTrees,A_voltage_only,3,6,36,0.0
ieee14,ExtraTrees,A_voltage_only,3,9,36,0.0
ieee14,ExtraTrees,A_voltage_only,3,11,36,0.0
ieee14,ExtraTrees,A_voltage_only,3,14,36,0.0
ieee14,ExtraTrees,A_voltage_only,5,2,36,1.0
ieee14,ExtraTrees,A_voltage_only,5,6,36,0.0
ieee14,ExtraTrees,A_voltage_only,5,9,36,0.0
ieee14,ExtraTrees,A_voltage_only,5,11,36,0.0
ieee14,ExtraTrees,A_voltage_only,5,14,36,0.0
ieee14,ExtraTrees,A_voltage_only,14,2,36,1.0
ieee14,ExtraTrees,A_voltage_only,14,6,36,0.0
ieee14,ExtraTrees,A_voltage_only,14,9,36,0.0
ieee14,ExtraTrees,A_voltage_only,14,11,36,0.0
ieee14,ExtraTrees,A_voltage_only,14,14,36,0.0
ieee14,ExtraTrees,B_current_only,3,2,36,0.75
ieee14,ExtraTrees,B_current_only,3,6,36,0.75
ieee14,ExtraTrees,B_current_only,3,9,36,0.0
ieee14,ExtraTrees,B_current_only,3,11,36,0.75
ieee14,ExtraTrees,B_current_only,3,14,36,0.25
ieee14,ExtraTrees,B_current_only,5,2,36,0.0
ieee14,ExtraTrees,B_current_only,5,6,36,0.75
ieee14,ExtraTrees,B_current_only,5,9,36,0.5
ieee14,ExtraTrees,B_current_only,5,11,36,0.75
ieee14,ExtraTrees,B_current_only,5,14,36,0.25
ieee14,ExtraTrees,B_current_only,14,2,36,1.0
ieee14,ExtraTrees,B_current_only,14,6,36,0.0
ieee14,ExtraTrees,B_current_only,14,9,36,0.0
ieee14,ExtraTrees,B_current_only,14,11,36,0.0
ieee14,ExtraTrees,B_current_only,14,14,36,0.0
ieee14,ExtraTrees,Baseline,3,2,36,1.0
ieee14,ExtraTrees,Baseline,3,6,36,0.0
ieee14,ExtraTrees,Baseline,3,9,36,0.0
ieee14,ExtraTrees,Baseline,3,11,36,0.2222222222222222
ieee14,ExtraTrees,Baseline,3,14,36,0.0
ieee14,ExtraTrees,Baseline,5,2,36,0.9444444444444444
ieee14,ExtraTrees,Baseline,5,6,36,0.3888888888888889
ieee14,ExtraTrees,Baseline,5,9,36,0.0
ieee14,ExtraTrees,Baseline,5,11,36,0.5
ieee14,ExtraTrees,Baseline,5,14,36,0.0
ieee14,ExtraTrees,Baseline,14,2,36,1.0
ieee14,ExtraTrees,Baseline,14,6,36,0.0
ieee14,ExtraTrees,Baseline,14,9,36,0.0
ieee14,ExtraTrees,Baseline,14,11,36,0.0
ieee14,ExtraTrees,Baseline,14,14,36,0.0
ieee14,ExtraTrees,C_existing_VC,3,2,36,1.0
ieee14,ExtraTrees,C_existing_VC,3,6,36,0.0
ieee14,ExtraTrees,C_existing_VC,3,9,36,0.0
ieee14,ExtraTrees,C_existing_VC,3,11,36,0.0
ieee14,ExtraTrees,C_existing_VC,3,14,36,0.0
ieee14,ExtraTrees,C_existing_VC,5,2,36,1.0
ieee14,ExtraTrees,C_existing_VC,5,6,36,0.0
ieee14,ExtraTrees,C_existing_VC,5,9,36,0.0
ieee14,ExtraTrees,C_existing_VC,5,11,36,0.1388888888888889
ieee14,ExtraTrees,C_existing_VC,5,14,36,0.0
ieee14,ExtraTrees,C_existing_VC,14,2,36,1.0
ieee14,ExtraTrees,C_existing_VC,14,6,36,0.0
ieee14,ExtraTrees,C_existing_VC,14,9,36,0.0
ieee14,ExtraTrees,C_existing_VC,14,11,36,0.0
ieee14,ExtraTrees,C_existing_VC,14,14,36,0.0
ieee14,ExtraTrees,D_existing_norm,3,2,36,1.0
ieee14,ExtraTrees,D_existing_norm,3,6,36,1.0
ieee14,ExtraTrees,D_existing_norm,3,9,36,1.0
ieee14,ExtraTrees,D_existing_norm,3,11,36,1.0
ieee14,ExtraTrees,D_existing_norm,3,14,36,1.0
ieee14,ExtraTrees,D_existing_norm,5,2,36,1.0
ieee14,ExtraTrees,D_existing_norm,5,6,36,1.0
ieee14,ExtraTrees,D_existing_norm,5,9,36,1.0
ieee14,ExtraTrees,D_existing_norm,5,11,36,1.0
ieee14,ExtraTrees,D_existing_norm,5,14,36,1.0
ieee14,ExtraTrees,D_existing_norm,14,2,36,1.0
ieee14,ExtraTrees,D_existing_norm,14,6,36,0.8888888888888888
ieee14,ExtraTrees,D_existing_norm,14,9,36,0.05555555555555555
ieee14,ExtraTrees,D_existing_norm,14,11,36,1.0
ieee14,ExtraTrees,D_existing_norm,14,14,36,1.0
ieee14,ExtraTrees,E_existing_norm_rank,3,2,36,1.0
ieee14,ExtraTrees,E_existing_norm_rank,3,6,36,0.2777777777777778
ieee14,ExtraTrees,E_existing_norm_rank,3,9,36,1.0
ieee14,ExtraTrees,E_existing_norm_rank,3,11,36,1.0
ieee14,ExtraTrees,E_existing_norm_rank,3,14,36,1.0
ieee14,ExtraTrees,E_existing_norm_rank,5,2,36,1.0
ieee14,ExtraTrees,E_existing_norm_rank,5,6,36,1.0
ieee14,ExtraTrees,E_existing_norm_rank,5,9,36,1.0
ieee14,ExtraTrees,E_existing_norm_rank,5,11,36,1.0
ieee14,ExtraTrees,E_existing_norm_rank,5,14,36,1.0
ieee14,ExtraTrees,E_existing_norm_rank,14,2,36,1.0
ieee14,ExtraTrees,E_existing_norm_rank,14,6,36,0.9722222222222222
ieee14,ExtraTrees,E_existing_norm_rank,14,9,36,1.0
ieee14,ExtraTrees,E_existing_norm_rank,14,11,36,1.0
ieee14,ExtraTrees,E_existing_norm_rank,14,14,36,1.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,3,2,36,1.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,3,6,36,0.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,3,9,36,1.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,3,11,36,1.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,3,14,36,1.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,5,2,36,1.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,5,6,36,1.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,5,9,36,1.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,5,11,36,1.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,5,14,36,1.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,14,2,36,1.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,14,6,36,1.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,14,9,36,1.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,14,11,36,1.0
