NetworkID,Model,Variant,WMUCount,CoarseCategory,Cases,ExactBusAccuracy,OneHopAccuracy,GraphDistanceMAE
ieee14,ExtraTrees,Baseline,3,Ground,90,0.28888888888888886,0.28888888888888886,1.7333333333333334
ieee14,ExtraTrees,Baseline,3,Phase_to_Phase,45,0.2,0.2,2.0
ieee14,ExtraTrees,Baseline,3,Three_Phase,45,0.2,0.2,2.0
ieee14,RandomForest,Baseline,3,Ground,90,0.2,0.2,2.0
ieee14,RandomForest,Baseline,3,Phase_to_Phase,45,0.2,0.2,2.0
ieee14,RandomForest,Baseline,3,Three_Phase,45,0.2,0.2,2.0
ieee14,ExtraTrees,A_voltage_only,3,Ground,90,0.2,0.2,2.0
ieee14,ExtraTrees,A_voltage_only,3,Phase_to_Phase,45,0.2,0.2,2.0
ieee14,ExtraTrees,A_voltage_only,3,Three_Phase,45,0.2,0.2,2.0
ieee14,RandomForest,A_voltage_only,3,Ground,90,0.2,0.2,2.0
ieee14,RandomForest,A_voltage_only,3,Phase_to_Phase,45,0.2,0.2,2.0
ieee14,RandomForest,A_voltage_only,3,Three_Phase,45,0.2,0.2,2.0
ieee14,ExtraTrees,B_current_only,3,Ground,90,0.6,0.6,1.0
ieee14,ExtraTrees,B_current_only,3,Phase_to_Phase,45,0.6,0.8,0.8
ieee14,ExtraTrees,B_current_only,3,Three_Phase,45,0.2,0.2,2.0
ieee14,RandomForest,B_current_only,3,Ground,90,0.3,0.3,1.6
ieee14,RandomForest,B_current_only,3,Phase_to_Phase,45,0.4,0.4,1.4
ieee14,RandomForest,B_current_only,3,Three_Phase,45,0.2,0.2,2.0
ieee14,ExtraTrees,C_existing_VC,3,Ground,90,0.2,0.2,2.0
ieee14,ExtraTrees,C_existing_VC,3,Phase_to_Phase,45,0.2,0.2,2.0
ieee14,ExtraTrees,C_existing_VC,3,Three_Phase,45,0.2,0.2,2.0
ieee14,RandomForest,C_existing_VC,3,Ground,90,0.2,0.2,2.0
ieee14,RandomForest,C_existing_VC,3,Phase_to_Phase,45,0.2,0.2,2.0
ieee14,RandomForest,C_existing_VC,3,Three_Phase,45,0.2,0.2,2.0
ieee14,ExtraTrees,D_existing_norm,3,Ground,90,1.0,1.0,0.0
ieee14,ExtraTrees,D_existing_norm,3,Phase_to_Phase,45,1.0,1.0,0.0
ieee14,ExtraTrees,D_existing_norm,3,Three_Phase,45,1.0,1.0,0.0
ieee14,RandomForest,D_existing_norm,3,Ground,90,0.9777777777777777,0.9777777777777777,0.044444444444444446
ieee14,RandomForest,D_existing_norm,3,Phase_to_Phase,45,1.0,1.0,0.0
ieee14,RandomForest,D_existing_norm,3,Three_Phase,45,1.0,1.0,0.0
ieee14,ExtraTrees,E_existing_norm_rank,3,Ground,90,0.8666666666666667,0.8666666666666667,0.26666666666666666
ieee14,ExtraTrees,E_existing_norm_rank,3,Phase_to_Phase,45,0.8888888888888888,0.8888888888888888,0.2222222222222222
ieee14,ExtraTrees,E_existing_norm_rank,3,Three_Phase,45,0.8,0.8,0.4
ieee14,RandomForest,E_existing_norm_rank,3,Ground,90,0.8,0.8,0.4
ieee14,RandomForest,E_existing_norm_rank,3,Phase_to_Phase,45,0.9333333333333333,0.9333333333333333,0.13333333333333333
ieee14,RandomForest,E_existing_norm_rank,3,Three_Phase,45,0.8,0.8,0.4
ieee14,ExtraTrees,F_existing_norm_rank_vi,3,Ground,90,0.8,0.8,0.4
ieee14,ExtraTrees,F_existing_norm_rank_vi,3,Phase_to_Phase,45,0.8,0.8,0.4
ieee14,ExtraTrees,F_existing_norm_rank_vi,3,Three_Phase,45,0.8,0.8,0.4
ieee14,RandomForest,F_existing_norm_rank_vi,3,Ground,90,0.8,0.8,0.4
ieee14,RandomForest,F_existing_norm_rank_vi,3,Phase_to_Phase,45,0.8,0.8,0.4
ieee14,RandomForest,F_existing_norm_rank_vi,3,Three_Phase,45,0.8,0.8,0.4
ieee14,ExtraTrees,Baseline,5,Ground,90,0.4111111111111111,0.5111111111111111,1.2222222222222223
ieee14,ExtraTrees,Baseline,5,Phase_to_Phase,45,0.4444444444444444,0.4444444444444444,1.288888888888889
ieee14,ExtraTrees,Baseline,5,Three_Phase,45,0.2,0.3333333333333333,1.6888888888888889
ieee14,RandomForest,Baseline,5,Ground,90,0.25555555555555554,0.25555555555555554,1.8333333333333333
ieee14,RandomForest,Baseline,5,Phase_to_Phase,45,0.2,0.2,2.0
ieee14,RandomForest,Baseline,5,Three_Phase,45,0.2,0.2,2.0
ieee14,ExtraTrees,A_voltage_only,5,Ground,90,0.2,0.2,2.0
ieee14,ExtraTrees,A_voltage_only,5,Phase_to_Phase,45,0.2,0.2,2.0
ieee14,ExtraTrees,A_voltage_only,5,Three_Phase,45,0.2,0.2,2.0
ieee14,RandomForest,A_voltage_only,5,Ground,90,0.2,0.2,2.0
ieee14,RandomForest,A_voltage_only,5,Phase_to_Phase,45,0.2,0.2,2.0
ieee14,RandomForest,A_voltage_only,5,Three_Phase,45,0.2,0.2,2.0
ieee14,ExtraTrees,B_current_only,5,Ground,90,0.4,0.6,1.2
ieee14,ExtraTrees,B_current_only,5,Phase_to_Phase,45,0.8,0.8,0.4
ieee14,ExtraTrees,B_current_only,5,Three_Phase,45,0.2,0.4,1.6
ieee14,RandomForest,B_current_only,5,Ground,90,0.3,0.5,1.3
ieee14,RandomForest,B_current_only,5,Phase_to_Phase,45,0.5333333333333333,0.7333333333333333,0.9333333333333333
ieee14,RandomForest,B_current_only,5,Three_Phase,45,0.4,0.4,1.6
ieee14,ExtraTrees,C_existing_VC,5,Ground,90,0.25555555555555554,0.25555555555555554,1.8333333333333333
ieee14,ExtraTrees,C_existing_VC,5,Phase_to_Phase,45,0.2,0.2,2.0
ieee14,ExtraTrees,C_existing_VC,5,Three_Phase,45,0.2,0.2,2.0
ieee14,RandomForest,C_existing_VC,5,Ground,90,0.3,0.3,1.7
ieee14,RandomForest,C_existing_VC,5,Phase_to_Phase,45,0.2,0.2,2.0
ieee14,RandomForest,C_existing_VC,5,Three_Phase,45,0.2,0.2,2.0
ieee14,ExtraTrees,D_existing_norm,5,Ground,90,1.0,1.0,0.0
ieee14,ExtraTrees,D_existing_norm,5,Phase_to_Phase,45,1.0,1.0,0.0
ieee14,ExtraTrees,D_existing_norm,5,Three_Phase,45,1.0,1.0,0.0
ieee14,RandomForest,D_existing_norm,5,Ground,90,1.0,1.0,0.0
ieee14,RandomForest,D_existing_norm,5,Phase_to_Phase,45,1.0,1.0,0.0
ieee14,RandomForest,D_existing_norm,5,Three_Phase,45,1.0,1.0,0.0
ieee14,ExtraTrees,E_existing_norm_rank,5,Ground,90,1.0,1.0,0.0
ieee14,ExtraTrees,E_existing_norm_rank,5,Phase_to_Phase,45,1.0,1.0,0.0
ieee14,ExtraTrees,E_existing_norm_rank,5,Three_Phase,45,1.0,1.0,0.0
ieee14,RandomForest,E_existing_norm_rank,5,Ground,90,1.0,1.0,0.0
ieee14,RandomForest,E_existing_norm_rank,5,Phase_to_Phase,45,1.0,1.0,0.0
ieee14,RandomForest,E_existing_norm_rank,5,Three_Phase,45,1.0,1.0,0.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,5,Ground,90,1.0,1.0,0.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,5,Phase_to_Phase,45,1.0,1.0,0.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,5,Three_Phase,45,1.0,1.0,0.0
ieee14,RandomForest,F_existing_norm_rank_vi,5,Ground,90,0.9555555555555556,0.9555555555555556,0.13333333333333333
ieee14,RandomForest,F_existing_norm_rank_vi,5,Phase_to_Phase,45,1.0,1.0,0.0
ieee14,RandomForest,F_existing_norm_rank_vi,5,Three_Phase,45,1.0,1.0,0.0
ieee14,ExtraTrees,Baseline,14,Ground,90,0.2,0.2,2.0
ieee14,ExtraTrees,Baseline,14,Phase_to_Phase,45,0.2,0.2,2.0
ieee14,ExtraTrees,Baseline,14,Three_Phase,45,0.2,0.2,2.0
ieee14,RandomForest,Baseline,14,Ground,90,0.2,0.2,2.077777777777778
ieee14,RandomForest,Baseline,14,Phase_to_Phase,45,0.2,0.2,2.0
ieee14,RandomForest,Baseline,14,Three_Phase,45,0.2,0.4,1.6
ieee14,ExtraTrees,A_voltage_only,14,Ground,90,0.2,0.2,2.0
ieee14,ExtraTrees,A_voltage_only,14,Phase_to_Phase,45,0.2,0.2,2.0
ieee14,ExtraTrees,A_voltage_only,14,Three_Phase,45,0.2,0.2,2.0
ieee14,RandomForest,A_voltage_only,14,Ground,90,0.2,0.2,2.0
ieee14,RandomForest,A_voltage_only,14,Phase_to_Phase,45,0.2,0.2,2.0
ieee14,RandomForest,A_voltage_only,14,Three_Phase,45,0.2,0.2,2.0
ieee14,ExtraTrees,B_current_only,14,Ground,90,0.2,0.2,2.0
ieee14,ExtraTrees,B_current_only,14,Phase_to_Phase,45,0.2,0.2,2.0
ieee14,ExtraTrees,B_current_only,14,Three_Phase,45,0.2,0.2,2.066666666666667
ieee14,RandomForest,B_current_only,14,Ground,90,0.2,0.2,2.1
ieee14,RandomForest,B_current_only,14,Phase_to_Phase,45,0.2,0.2,2.022222222222222
ieee14,RandomForest,B_current_only,14,Three_Phase,45,0.2,0.4,1.6
ieee14,ExtraTrees,C_existing_VC,14,Ground,90,0.2,0.2,2.0
ieee14,ExtraTrees,C_existing_VC,14,Phase_to_Phase,45,0.2,0.2,2.0
ieee14,ExtraTrees,C_existing_VC,14,Three_Phase,45,0.2,0.2,2.0
ieee14,RandomForest,C_existing_VC,14,Ground,90,0.2,0.2,2.1
ieee14,RandomForest,C_existing_VC,14,Phase_to_Phase,45,0.2,0.2,2.022222222222222
ieee14,RandomForest,C_existing_VC,14,Three_Phase,45,0.2,0.2,2.066666666666667
ieee14,ExtraTrees,D_existing_norm,14,Ground,90,0.7666666666666667,0.9666666666666667,0.26666666666666666
ieee14,ExtraTrees,D_existing_norm,14,Phase_to_Phase,45,0.7777777777777778,0.9777777777777777,0.24444444444444444
ieee14,ExtraTrees,D_existing_norm,14,Three_Phase,45,0.8444444444444444,1.0,0.15555555555555556
ieee14,RandomForest,D_existing_norm,14,Ground,90,0.9111111111111111,0.9444444444444444,0.14444444444444443
ieee14,RandomForest,D_existing_norm,14,Phase_to_Phase,45,0.8888888888888888,0.9777777777777777,0.13333333333333333
ieee14,RandomForest,D_existing_norm,14,Three_Phase,45,1.0,1.0,0.0
ieee14,ExtraTrees,E_existing_norm_rank,14,Ground,90,0.9888888888888889,0.9888888888888889,0.022222222222222223
ieee14,ExtraTrees,E_existing_norm_rank,14,Phase_to_Phase,45,1.0,1.0,0.0
ieee14,ExtraTrees,E_existing_norm_rank,14,Three_Phase,45,1.0,1.0,0.0
ieee14,RandomForest,E_existing_norm_rank,14,Ground,90,1.0,1.0,0.0
ieee14,RandomForest,E_existing_norm_rank,14,Phase_to_Phase,45,1.0,1.0,0.0
ieee14,RandomForest,E_existing_norm_rank,14,Three_Phase,45,1.0,1.0,0.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,14,Ground,90,1.0,1.0,0.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,14,Phase_to_Phase,45,1.0,1.0,0.0
ieee14,ExtraTrees,F_existing_norm_rank_vi,14,Three_Phase,45,1.0,1.0,0.0
ieee14,RandomForest,F_existing_norm_rank_vi,14,Ground,90,0.9888888888888889,0.9888888888888889,0.022222222222222223
ieee14,RandomForest,F_existing_norm_rank_vi,14,Phase_to_Phase,45,1.0,1.0,0.0
