NetworkID,k_target,CandidateBus,TrainOnlyImportanceScore,SelectionData
ieee30,5,1,0.10469590111583489,R=0.1/1.0 train rows only
ieee30,5,10,0.08605422871806656,R=0.1/1.0 train rows only
ieee30,5,6,0.07682323370504061,R=0.1/1.0 train rows only
ieee30,5,24,0.07159938894397964,R=0.1/1.0 train rows only
ieee30,5,30,0.059901472345569105,R=0.1/1.0 train rows only
ieee30,5,27,0.059331035226443146,R=0.1/1.0 train rows only
ieee30,5,2,0.05498834714512052,R=0.1/1.0 train rows only
ieee30,5,9,0.05034918877069208,R=0.1/1.0 train rows only
ieee30,5,4,0.041584035017471724,R=0.1/1.0 train rows only
ieee30,5,3,0.04084093474169973,R=0.1/1.0 train rows only
ieee30,5,22,0.03887752394159541,R=0.1/1.0 train rows only
ieee30,5,25,0.03753233981699067,R=0.1/1.0 train rows only
ieee30,5,11,0.03120278423734303,R=0.1/1.0 train rows only
ieee30,5,28,0.028095433629473053,R=0.1/1.0 train rows only
ieee30,5,29,0.026501279826528584,R=0.1/1.0 train rows only
ieee30,5,23,0.02357522257027338,R=0.1/1.0 train rows only
ieee30,5,18,0.021081081965907883,R=0.1/1.0 train rows only
ieee30,5,17,0.019286421008123417,R=0.1/1.0 train rows only
ieee30,5,13,0.01724804030272591,R=0.1/1.0 train rows only
ieee30,5,7,0.01603949617402706,R=0.1/1.0 train rows only
ieee30,5,19,0.015369651759213525,R=0.1/1.0 train rows only
ieee30,5,8,0.014998317508563558,R=0.1/1.0 train rows only
ieee30,5,21,0.013535264205198221,R=0.1/1.0 train rows only
ieee30,5,20,0.009306186952278247,R=0.1/1.0 train rows only
ieee30,5,14,0.008984415582075597,R=0.1/1.0 train rows only
ieee30,5,26,0.008368696263164851,R=0.1/1.0 train rows only
ieee30,5,16,0.0075631978221602,R=0.1/1.0 train rows only
ieee30,5,12,0.006779462813426759,R=0.1/1.0 train rows only
ieee30,5,5,0.0065179342145957895,R=0.1/1.0 train rows only
ieee30,5,15,0.0029694836764168316,R=0.1/1.0 train rows only
