NetworkID,WMUCount,Variant,ResistanceOhm,Status,FaultRecall,ExactBusAccuracy,GraphDistanceMAE,CoarseCategoryMacroF1
ieee14,3.0,Baseline,10.0,EVALUATED,1.0,0.24444444444444444,1.8666666666666667,0.694948476702509
ieee14,3.0,D_existing_norm,10.0,EVALUATED,1.0,1.0,0.0,0.7060965823748483
ieee14,3.0,E_existing_norm_rank,10.0,EVALUATED,1.0,0.8555555555555555,0.28888888888888886,0.6370066397959383
ieee14,5.0,Baseline,10.0,EVALUATED,1.0,0.36666666666666664,1.3555555555555556,0.6038994481282983
ieee14,5.0,D_existing_norm,10.0,EVALUATED,1.0,1.0,0.0,0.6390375168184236
ieee14,5.0,E_existing_norm_rank,10.0,EVALUATED,1.0,1.0,0.0,0.6564746520762644
ieee14,14.0,Baseline,10.0,EVALUATED,1.0,0.2,2.0,0.5282324397893366
ieee14,14.0,D_existing_norm,10.0,EVALUATED,1.0,0.7888888888888889,0.23333333333333334,0.5943031891655745
ieee14,14.0,E_existing_norm_rank,10.0,EVALUATED,1.0,0.9944444444444445,0.011111111111111112,0.5938540859878579
ieee30,3.0,Baseline,10.0,EVALUATED,0.9666666666666667,0.8055555555555556,0.7055555555555556,0.5990842490842491
ieee30,3.0,D_existing_norm,10.0,EVALUATED,0.9833333333333333,0.95,0.15,0.6481387047424784
ieee30,3.0,E_existing_norm_rank,10.0,EVALUATED,0.9388888888888889,0.95,0.15,0.4227537168713639
ieee30,5.0,Baseline,10.0,EVALUATED,0.9888888888888889,0.6333333333333333,1.5833333333333333,0.49442749385541146
ieee30,5.0,D_existing_norm,10.0,EVALUATED,0.9055555555555556,1.0,0.0,0.35521885521885527
ieee30,5.0,E_existing_norm_rank,10.0,EVALUATED,0.8833333333333333,1.0,0.0,0.21541767391888259
ieee30,30.0,Baseline,10.0,EVALUATED,1.0,0.65,1.5,0.1490219016052512
ieee30,30.0,D_existing_norm,10.0,EVALUATED,1.0,1.0,0.0,0.43951697139109075
ieee30,30.0,E_existing_norm_rank,10.0,EVALUATED,1.0,1.0,0.0,0.1857246445348214
ieee14,,ALL,5.0,NOT_AVAILABLE_RAW_SIMULATION_REQUIRED,,,,
ieee14,,ALL,20.0,NOT_AVAILABLE_RAW_SIMULATION_REQUIRED,,,,
ieee30,,ALL,5.0,NOT_AVAILABLE_RAW_SIMULATION_REQUIRED,,,,
ieee30,,ALL,20.0,NOT_AVAILABLE_RAW_SIMULATION_REQUIRED,,,,
