NetworkID,Variant,FeatureCount,Features
ieee14,Baseline,40,v_pre_rms_A;v_event_rms_A;v_post_rms_A;i_pre_rms_A;i_event_rms_A;i_post_rms_A;v_pre_rms_B;v_event_rms_B;v_post_rms_B;i_pre_rms_B;i_event_rms_B;i_post_rms_B;v_pre_rms_C;v_event_rms_C;v_post_rms_C;i_pre_rms_C;i_event_rms_C;i_post_rms_C;voltage_sag_ratio;voltage_phase_rms_mean;voltage_phase_rms_std;event_min_voltage;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;event_max_current;pre_to_event_voltage_change;pre_to_event_current_change;pre_to_post_voltage_change;pre_to_post_current_change;V1;V2_over_V1;V0_over_V1;I1;I2_over_I1;I0_over_I1;sso_frequency_energy;lowfreq_5_45_energy;fundamental_magnitude;dominant_lowfreq_component
ieee14,Experiment A: voltage only,18,v_pre_rms_A;v_event_rms_A;v_post_rms_A;v_pre_rms_B;v_event_rms_B;v_post_rms_B;v_pre_rms_C;v_event_rms_C;v_post_rms_C;voltage_sag_ratio;voltage_phase_rms_mean;voltage_phase_rms_std;event_min_voltage;pre_to_event_voltage_change;pre_to_post_voltage_change;V1;V2_over_V1;V0_over_V1
ieee14,Experiment B: current only,18,i_pre_rms_A;i_event_rms_A;i_post_rms_A;i_pre_rms_B;i_event_rms_B;i_post_rms_B;i_pre_rms_C;i_event_rms_C;i_post_rms_C;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;event_max_current;pre_to_event_current_change;pre_to_post_current_change;I1;I2_over_I1;I0_over_I1
ieee14,Experiment C: existing V+C,40,I0_over_I1;I1;I2_over_I1;V0_over_V1;V1;V2_over_V1;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;dominant_lowfreq_component;event_max_current;event_min_voltage;fundamental_magnitude;i_event_rms_A;i_event_rms_B;i_event_rms_C;i_post_rms_A;i_post_rms_B;i_post_rms_C;i_pre_rms_A;i_pre_rms_B;i_pre_rms_C;lowfreq_5_45_energy;pre_to_event_current_change;pre_to_event_voltage_change;pre_to_post_current_change;pre_to_post_voltage_change;sso_frequency_energy;v_event_rms_A;v_event_rms_B;v_event_rms_C;v_post_rms_A;v_post_rms_B;v_post_rms_C;v_pre_rms_A;v_pre_rms_B;v_pre_rms_C;voltage_phase_rms_mean;voltage_phase_rms_std;voltage_sag_ratio
ieee14,Experiment D: existing + normalized V/I,46,I0_over_I1;I1;I2_over_I1;I_rel_max;I_rel_sum;I_rel_to_median;V0_over_V1;V1;V2_over_V1;V_rel_max;V_rel_sum;V_rel_to_median;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;dominant_lowfreq_component;event_max_current;event_min_voltage;fundamental_magnitude;i_event_rms_A;i_event_rms_B;i_event_rms_C;i_post_rms_A;i_post_rms_B;i_post_rms_C;i_pre_rms_A;i_pre_rms_B;i_pre_rms_C;lowfreq_5_45_energy;pre_to_event_current_change;pre_to_event_voltage_change;pre_to_post_current_change;pre_to_post_voltage_change;sso_frequency_energy;v_event_rms_A;v_event_rms_B;v_event_rms_C;v_post_rms_A;v_post_rms_B;v_post_rms_C;v_pre_rms_A;v_pre_rms_B;v_pre_rms_C;voltage_phase_rms_mean;voltage_phase_rms_std;voltage_sag_ratio
ieee14,Experiment E: existing + normalized V/I + rank,50,I0_over_I1;I1;I2_over_I1;I_rel_max;I_rel_sum;I_rel_to_median;I_spatial_rank;I_spatial_rank_norm;V0_over_V1;V1;V2_over_V1;V_rel_max;V_rel_sum;V_rel_to_median;V_spatial_rank;V_spatial_rank_norm;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;dominant_lowfreq_component;event_max_current;event_min_voltage;fundamental_magnitude;i_event_rms_A;i_event_rms_B;i_event_rms_C;i_post_rms_A;i_post_rms_B;i_post_rms_C;i_pre_rms_A;i_pre_rms_B;i_pre_rms_C;lowfreq_5_45_energy;pre_to_event_current_change;pre_to_event_voltage_change;pre_to_post_current_change;pre_to_post_voltage_change;sso_frequency_energy;v_event_rms_A;v_event_rms_B;v_event_rms_C;v_post_rms_A;v_post_rms_B;v_post_rms_C;v_pre_rms_A;v_pre_rms_B;v_pre_rms_C;voltage_phase_rms_mean;voltage_phase_rms_std;voltage_sag_ratio
ieee14,Experiment F: existing + normalized V/I + rank + V-I coupled,52,I0_over_I1;I1;I2_over_I1;I_rel_max;I_rel_sum;I_rel_to_median;I_spatial_rank;I_spatial_rank_norm;V0_over_V1;V1;V2_over_V1;VI_log_delta_ratio;VI_rel_sum_ratio;V_rel_max;V_rel_sum;V_rel_to_median;V_spatial_rank;V_spatial_rank_norm;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;dominant_lowfreq_component;event_max_current;event_min_voltage;fundamental_magnitude;i_event_rms_A;i_event_rms_B;i_event_rms_C;i_post_rms_A;i_post_rms_B;i_post_rms_C;i_pre_rms_A;i_pre_rms_B;i_pre_rms_C;lowfreq_5_45_energy;pre_to_event_current_change;pre_to_event_voltage_change;pre_to_post_current_change;pre_to_post_voltage_change;sso_frequency_energy;v_event_rms_A;v_event_rms_B;v_event_rms_C;v_post_rms_A;v_post_rms_B;v_post_rms_C;v_pre_rms_A;v_pre_rms_B;v_pre_rms_C;voltage_phase_rms_mean;voltage_phase_rms_std;voltage_sag_ratio
ieee30,Baseline,40,v_pre_rms_A;v_event_rms_A;v_post_rms_A;i_pre_rms_A;i_event_rms_A;i_post_rms_A;v_pre_rms_B;v_event_rms_B;v_post_rms_B;i_pre_rms_B;i_event_rms_B;i_post_rms_B;v_pre_rms_C;v_event_rms_C;v_post_rms_C;i_pre_rms_C;i_event_rms_C;i_post_rms_C;voltage_sag_ratio;voltage_phase_rms_mean;voltage_phase_rms_std;event_min_voltage;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;event_max_current;pre_to_event_voltage_change;pre_to_event_current_change;pre_to_post_voltage_change;pre_to_post_current_change;V1;V2_over_V1;V0_over_V1;I1;I2_over_I1;I0_over_I1;sso_frequency_energy;lowfreq_5_45_energy;fundamental_magnitude;dominant_lowfreq_component
ieee30,Experiment A: voltage only,18,v_pre_rms_A;v_event_rms_A;v_post_rms_A;v_pre_rms_B;v_event_rms_B;v_post_rms_B;v_pre_rms_C;v_event_rms_C;v_post_rms_C;voltage_sag_ratio;voltage_phase_rms_mean;voltage_phase_rms_std;event_min_voltage;pre_to_event_voltage_change;pre_to_post_voltage_change;V1;V2_over_V1;V0_over_V1
ieee30,Experiment B: current only,18,i_pre_rms_A;i_event_rms_A;i_post_rms_A;i_pre_rms_B;i_event_rms_B;i_post_rms_B;i_pre_rms_C;i_event_rms_C;i_post_rms_C;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;event_max_current;pre_to_event_current_change;pre_to_post_current_change;I1;I2_over_I1;I0_over_I1
ieee30,Experiment C: existing V+C,40,I0_over_I1;I1;I2_over_I1;V0_over_V1;V1;V2_over_V1;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;dominant_lowfreq_component;event_max_current;event_min_voltage;fundamental_magnitude;i_event_rms_A;i_event_rms_B;i_event_rms_C;i_post_rms_A;i_post_rms_B;i_post_rms_C;i_pre_rms_A;i_pre_rms_B;i_pre_rms_C;lowfreq_5_45_energy;pre_to_event_current_change;pre_to_event_voltage_change;pre_to_post_current_change;pre_to_post_voltage_change;sso_frequency_energy;v_event_rms_A;v_event_rms_B;v_event_rms_C;v_post_rms_A;v_post_rms_B;v_post_rms_C;v_pre_rms_A;v_pre_rms_B;v_pre_rms_C;voltage_phase_rms_mean;voltage_phase_rms_std;voltage_sag_ratio
ieee30,Experiment D: existing + normalized V/I,46,I0_over_I1;I1;I2_over_I1;I_rel_max;I_rel_sum;I_rel_to_median;V0_over_V1;V1;V2_over_V1;V_rel_max;V_rel_sum;V_rel_to_median;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;dominant_lowfreq_component;event_max_current;event_min_voltage;fundamental_magnitude;i_event_rms_A;i_event_rms_B;i_event_rms_C;i_post_rms_A;i_post_rms_B;i_post_rms_C;i_pre_rms_A;i_pre_rms_B;i_pre_rms_C;lowfreq_5_45_energy;pre_to_event_current_change;pre_to_event_voltage_change;pre_to_post_current_change;pre_to_post_voltage_change;sso_frequency_energy;v_event_rms_A;v_event_rms_B;v_event_rms_C;v_post_rms_A;v_post_rms_B;v_post_rms_C;v_pre_rms_A;v_pre_rms_B;v_pre_rms_C;voltage_phase_rms_mean;voltage_phase_rms_std;voltage_sag_ratio
ieee30,Experiment E: existing + normalized V/I + rank,50,I0_over_I1;I1;I2_over_I1;I_rel_max;I_rel_sum;I_rel_to_median;I_spatial_rank;I_spatial_rank_norm;V0_over_V1;V1;V2_over_V1;V_rel_max;V_rel_sum;V_rel_to_median;V_spatial_rank;V_spatial_rank_norm;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;dominant_lowfreq_component;event_max_current;event_min_voltage;fundamental_magnitude;i_event_rms_A;i_event_rms_B;i_event_rms_C;i_post_rms_A;i_post_rms_B;i_post_rms_C;i_pre_rms_A;i_pre_rms_B;i_pre_rms_C;lowfreq_5_45_energy;pre_to_event_current_change;pre_to_event_voltage_change;pre_to_post_current_change;pre_to_post_voltage_change;sso_frequency_energy;v_event_rms_A;v_event_rms_B;v_event_rms_C;v_post_rms_A;v_post_rms_B;v_post_rms_C;v_pre_rms_A;v_pre_rms_B;v_pre_rms_C;voltage_phase_rms_mean;voltage_phase_rms_std;voltage_sag_ratio
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,52,I0_over_I1;I1;I2_over_I1;I_rel_max;I_rel_sum;I_rel_to_median;I_spatial_rank;I_spatial_rank_norm;V0_over_V1;V1;V2_over_V1;VI_log_delta_ratio;VI_rel_sum_ratio;V_rel_max;V_rel_sum;V_rel_to_median;V_spatial_rank;V_spatial_rank_norm;current_jump_ratio;current_phase_rms_mean;current_phase_rms_std;dominant_lowfreq_component;event_max_current;event_min_voltage;fundamental_magnitude;i_event_rms_A;i_event_rms_B;i_event_rms_C;i_post_rms_A;i_post_rms_B;i_post_rms_C;i_pre_rms_A;i_pre_rms_B;i_pre_rms_C;lowfreq_5_45_energy;pre_to_event_current_change;pre_to_event_voltage_change;pre_to_post_current_change;pre_to_post_voltage_change;sso_frequency_energy;v_event_rms_A;v_event_rms_B;v_event_rms_C;v_post_rms_A;v_post_rms_B;v_post_rms_C;v_pre_rms_A;v_pre_rms_B;v_pre_rms_C;voltage_phase_rms_mean;voltage_phase_rms_std;voltage_sag_ratio
