NetworkID,Variant,Model,FaultType,TestCases,MacroF1,ExactBusAccuracy,OneHopAccuracy,Top3Accuracy,GraphDistanceMAE
ieee14,Baseline,RandomForest,LL,45,0.0,0.2,0.2,,2.022222222222222
ieee14,Baseline,RandomForest,LLG,45,0.0,0.2,0.2,,2.2
ieee14,Baseline,RandomForest,SLG,45,0.0,0.2,0.2,,2.0
ieee14,Baseline,RandomForest,ThreePhase,45,1.0,0.2,0.4,,1.6
ieee14,Baseline,ExtraTrees,LL,45,0.4444444444444444,0.2,0.2,,2.0
ieee14,Baseline,ExtraTrees,LLG,45,0.0,0.2,0.2,,2.0
ieee14,Baseline,ExtraTrees,SLG,45,0.0,0.2,0.2,,2.0
ieee14,Baseline,ExtraTrees,ThreePhase,45,1.0,0.2,0.2,,2.0
ieee14,Experiment A: voltage only,RandomForest,LL,45,0.0,0.2,0.2,,2.0
ieee14,Experiment A: voltage only,RandomForest,LLG,45,0.0,0.2,0.2,,2.0
ieee14,Experiment A: voltage only,RandomForest,SLG,45,0.0,0.2,0.2,,2.0
ieee14,Experiment A: voltage only,RandomForest,ThreePhase,45,1.0,0.2,0.2,,2.0
ieee14,Experiment A: voltage only,ExtraTrees,LL,45,1.0,0.2,0.2,,2.0
ieee14,Experiment A: voltage only,ExtraTrees,LLG,45,0.0,0.2,0.2,,2.0
ieee14,Experiment A: voltage only,ExtraTrees,SLG,45,0.4,0.2,0.2,,2.0
ieee14,Experiment A: voltage only,ExtraTrees,ThreePhase,45,0.4943820224719101,0.2,0.2,,2.0
ieee14,Experiment B: current only,RandomForest,LL,45,0.0,0.2,0.2,,2.022222222222222
ieee14,Experiment B: current only,RandomForest,LLG,45,0.0,0.2,0.2,,2.2
ieee14,Experiment B: current only,RandomForest,SLG,45,0.0,0.2,0.2,,2.0
ieee14,Experiment B: current only,RandomForest,ThreePhase,45,1.0,0.2,0.4,,1.6
ieee14,Experiment B: current only,ExtraTrees,LL,45,0.0,0.2,0.2,,2.0
ieee14,Experiment B: current only,ExtraTrees,LLG,45,0.0,0.2,0.2,,2.0
ieee14,Experiment B: current only,ExtraTrees,SLG,45,0.0,0.2,0.2,,2.0
ieee14,Experiment B: current only,ExtraTrees,ThreePhase,45,1.0,0.2,0.2,,2.0
ieee14,Experiment C: existing V+C,RandomForest,LL,45,0.0,0.2,0.2,,2.022222222222222
ieee14,Experiment C: existing V+C,RandomForest,LLG,45,0.0,0.2,0.2,,2.0444444444444443
ieee14,Experiment C: existing V+C,RandomForest,SLG,45,0.0,0.2,0.2,,2.0
ieee14,Experiment C: existing V+C,RandomForest,ThreePhase,45,1.0,0.2,0.2,,2.0
ieee14,Experiment C: existing V+C,ExtraTrees,LL,45,0.3918918918918919,0.2,0.2,,2.0
ieee14,Experiment C: existing V+C,ExtraTrees,LLG,45,0.0,0.2,0.2,,2.0
