Split,CaseID
train,541
train,542
train,543
train,544
train,545
train,546
train,547
train,548
train,549
train,550
train,551
train,552
train,553
train,554
train,555
train,556
train,557
train,558
train,568
train,569
train,570
train,571
train,572
train,573
train,574
train,575
train,576
train,577
train,578
train,579
train,580
train,581
train,582
train,583
train,584
train,585
train,595
train,596
train,597
train,598
train,599
train,600
train,601
train,602
train,603
train,604
train,605
train,606
train,607
train,608
train,609
train,610
train,611
train,612
train,622
train,623
train,624
train,625
train,626
train,627
train,628
train,629
train,630
train,631
train,632
train,633
train,634
train,635
train,636
train,637
train,638
train,639
train,649
train,650
train,651
train,652
train,653
train,654
train,655
train,656
train,657
train,658
train,659
train,660
train,661
train,662
train,663
train,664
train,665
train,666
train,676
train,677
train,678
train,679
train,680
train,681
train,682
train,683
train,684
train,685
train,686
train,687
train,688
train,689
train,690
train,691
train,692
train,693
train,703
train,704
train,705
train,706
train,707
train,708
train,709
train,710
train,711
train,712
train,713
train,714
train,715
train,716
train,717
train,718
train,719
train,720
train,730
train,731
train,732
train,733
train,734
train,735
train,736
train,737
train,738
train,739
train,740
train,741
train,742
train,743
train,744
train,745
train,746
train,747
train,757
train,758
train,759
train,760
train,761
train,762
train,763
train,764
train,765
train,766
train,767
train,768
train,769
train,770
train,771
train,772
train,773
train,774
train,784
train,785
train,786
train,787
train,788
train,789
train,790
train,791
train,792
train,793
train,794
train,795
train,796
train,797
train,798
train,799
train,800
train,801
train,811
train,812
train,813
train,814
train,815
train,816
train,817
train,818
train,819
train,820
train,821
train,822
train,823
train,824
train,825
train,826
train,827
train,828
train,838
train,839
train,840
train,841
train,842
train,843
train,844
train,845
train,846
train,847
train,848
train,849
train,850
train,851
train,852
train,853
train,854
train,855
train,865
train,866
train,867
train,868
train,869
train,870
train,871
train,872
train,873
train,874
train,875
train,876
train,877
train,878
train,879
train,880
train,881
train,882
train,892
train,893
train,894
train,895
train,896
train,897
train,898
train,899
train,900
train,901
train,902
train,903
train,904
train,905
train,906
train,907
train,908
train,909
train,919
train,920
train,921
train,922
train,923
train,924
train,925
train,926
train,927
train,928
train,929
train,930
train,931
train,932
train,933
train,934
train,935
train,936
train,946
train,947
train,948
train,949
train,950
train,951
train,952
train,953
train,954
train,955
train,956
train,957
train,958
train,959
train,960
train,961
train,962
train,963
train,973
train,974
train,975
train,976
train,977
train,978
train,979
train,980
train,981
train,982
train,983
train,984
train,985
train,986
train,987
train,988
train,989
train,990
train,1000
train,1001
train,1002
train,1003
train,1004
train,1005
train,1006
train,1007
train,1008
train,1009
train,1010
train,1011
train,1012
train,1013
train,1014
train,1015
train,1016
train,1017
train,1027
train,1028
train,1029
train,1030
train,1031
train,1032
train,1033
train,1034
train,1035
train,1036
train,1037
train,1038
train,1039
train,1040
train,1041
train,1042
train,1043
train,1044
train,1054
train,1055
train,1056
train,1057
train,1058
train,1059
train,1060
train,1061
train,1062
train,1063
train,1064
train,1065
train,1066
train,1067
train,1068
train,1069
train,1070
train,1071
test,559
test,560
test,561
test,562
test,563
test,564
test,565
test,566
test,567
test,586
test,587
test,588
test,589
test,590
test,591
test,592
test,593
test,594
test,613
test,614
test,615
test,616
test,617
test,618
test,619
test,620
test,621
test,640
test,641
test,642
test,643
test,644
test,645
test,646
test,647
test,648
test,667
test,668
test,669
test,670
test,671
test,672
test,673
test,674
test,675
test,694
test,695
test,696
test,697
test,698
test,699
test,700
test,701
test,702
test,721
test,722
test,723
test,724
test,725
test,726
test,727
test,728
test,729
test,748
test,749
test,750
test,751
test,752
test,753
test,754
test,755
test,756
test,775
test,776
test,777
test,778
test,779
test,780
test,781
test,782
test,783
test,802
test,803
test,804
test,805
test,806
test,807
test,808
test,809
test,810
test,829
test,830
test,831
test,832
test,833
test,834
test,835
test,836
test,837
test,856
test,857
test,858
test,859
test,860
test,861
test,862
test,863
test,864
test,883
test,884
test,885
test,886
test,887
test,888
test,889
test,890
test,891
test,910
test,911
test,912
test,913
test,914
test,915
test,916
test,917
test,918
test,937
test,938
test,939
test,940
test,941
test,942
test,943
test,944
test,945
test,964
test,965
test,966
test,967
test,968
test,969
test,970
test,971
test,972
test,991
test,992
test,993
test,994
test,995
test,996
test,997
test,998
test,999
test,1018
test,1019
test,1020
test,1021
test,1022
test,1023
test,1024
test,1025
test,1026
test,1045
test,1046
test,1047
test,1048
test,1049
test,1050
test,1051
test,1052
test,1053
test,1072
test,1073
test,1074
test,1075
test,1076
test,1077
test,1078
test,1079
test,1080
