Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,ExactBusAccuracy,OneHopAccuracy,GraphDistanceMAE
ieee14,ExtraTrees,Baseline,3,2;6;9,360,180,40,0.2,0.2,2.0
ieee14,RandomForest,Baseline,3,2;6;9,360,180,40,0.25,0.25,1.8722222222222222
ieee14,ExtraTrees,Baseline,5,2;6;9;11;4,360,180,40,0.2,0.2,2.0
ieee14,RandomForest,Baseline,5,2;6;9;11;4,360,180,40,0.20555555555555555,0.20555555555555555,1.988888888888889
ieee14,ExtraTrees,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,0.2,0.2,2.0
ieee14,RandomForest,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,0.2,0.25,1.9555555555555555
ieee30,ExtraTrees,Baseline,3,6;1;2,360,180,40,0.65,0.65,1.2
ieee30,RandomForest,Baseline,3,6;1;2,360,180,40,0.65,0.65,1.2
ieee30,ExtraTrees,Baseline,5,6;1;2;3;4,360,180,40,0.65,0.65,1.2
ieee30,RandomForest,Baseline,5,6;1;2;3;4,360,180,40,0.65,0.65,1.2
ieee30,ExtraTrees,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,40,0.6388888888888888,0.6388888888888888,1.5555555555555556
ieee30,RandomForest,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,40,0.2,0.2,3.0
