Network,WMUCount,Model,BaselineExact,BestFeatureSet,BestExact,DeltaExact,BestCoarseMacroF1
ieee14,3,ExtraTrees,0.2,Baseline+NormVI,1.0,0.8,0.8073025092737756
ieee14,3,RandomForest,0.25,Baseline+NormVI,0.9277777777777778,0.6777777777777778,0.13333333333333333
ieee14,5,ExtraTrees,0.2,Baseline+NormVI,1.0,0.8,0.9194836238389154
ieee14,5,RandomForest,0.20555555555555555,Baseline+NormVI+Rank+VI,0.8166666666666667,0.6111111111111112,0.19016837504232462
ieee14,14,ExtraTrees,0.2,Baseline+NormVI+Rank+VI,1.0,0.8,0.4665772692055546
ieee14,14,RandomForest,0.2,Baseline+NormVI+Rank+VI,1.0,0.8,0.13333333333333333
ieee30,3,ExtraTrees,0.65,Baseline+NormVI+Rank+VI,0.9,0.25,0.55747322852586
ieee30,3,RandomForest,0.65,Baseline+NormVI+Rank,0.9,0.25,0.3434332657633628
ieee30,5,ExtraTrees,0.65,Baseline+NormVI,0.9388888888888889,0.28888888888888886,0.5246768507638073
ieee30,5,RandomForest,0.65,Baseline+NormVI,0.9388888888888889,0.28888888888888886,0.25
ieee30,30,ExtraTrees,0.6388888888888888,Baseline+NormVI,1.0,0.36111111111111116,0.3144713335568672
ieee30,30,RandomForest,0.2,Baseline+NormVI,1.0,0.8,0.13333333333333333
