Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,CoarseAccuracy,CoarseMacroF1,CoarseMacroPrecision,CoarseMacroRecall
ieee14,ExtraTrees,Baseline,3,2;6;9,360,180,40,0.9833333333333333,0.9817566751238371,0.9791666666666666,0.9851851851851853
ieee14,RandomForest,Baseline,3,2;6;9,360,180,40,0.25,0.13333333333333333,0.08333333333333333,0.3333333333333333
ieee14,ExtraTrees,Baseline+NormVI,3,2;6;9,360,180,44,0.7944444444444444,0.8073025092737756,0.8299888517279822,0.8518518518518517
ieee14,RandomForest,Baseline+NormVI,3,2;6;9,360,180,44,0.25,0.13333333333333333,0.08333333333333333,0.3333333333333333
ieee14,ExtraTrees,Baseline+NormVI+Rank,3,2;6;9,360,180,46,0.6,0.610416692042534,0.7242307692307692,0.7037037037037037
ieee14,RandomForest,Baseline+NormVI+Rank,3,2;6;9,360,180,46,0.25,0.13333333333333333,0.08333333333333333,0.3333333333333333
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,0.8,0.8150456268045456,0.8413885692366705,0.8555555555555555
ieee14,RandomForest,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,0.25,0.13333333333333333,0.08333333333333333,0.3333333333333333
ieee14,ExtraTrees,SpatialOnly,3,2;6;9,360,180,8,0.5,0.23076923076923075,0.17647058823529413,0.3333333333333333
ieee14,RandomForest,SpatialOnly,3,2;6;9,360,180,8,0.4722222222222222,0.22135416666666666,0.1706827309236948,0.3148148148148148
ieee14,ExtraTrees,Baseline,5,2;6;9;11;4,360,180,40,0.6555555555555556,0.672858617131063,0.8068535825545172,0.7037037037037037
ieee14,RandomForest,Baseline,5,2;6;9;11;4,360,180,40,0.25,0.13333333333333333,0.08333333333333333,0.3333333333333333
ieee14,ExtraTrees,Baseline+NormVI,5,2;6;9;11;4,360,180,44,0.9222222222222223,0.9194836238389154,0.9294871794871794,0.9185185185185185
ieee14,RandomForest,Baseline+NormVI,5,2;6;9;11;4,360,180,44,0.25,0.13333333333333333,0.08333333333333333,0.3333333333333333
ieee14,ExtraTrees,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,0.6611111111111111,0.6742857142857143,0.7578947368421053,0.7703703703703703
ieee14,RandomForest,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,0.25,0.13333333333333333,0.08333333333333333,0.3333333333333333
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,0.9444444444444444,0.9464261228967111,0.9371980676328503,0.9629629629629629
ieee14,RandomForest,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,0.2722222222222222,0.19016837504232462,0.418560606060606,0.36296296296296293
ieee14,ExtraTrees,SpatialOnly,5,2;6;9;11;4,360,180,8,0.5,0.2222222222222222,0.16666666666666666,0.3333333333333333
ieee14,RandomForest,SpatialOnly,5,2;6;9;11;4,360,180,8,0.4888888888888889,0.3428965694297359,0.30482421976424157,0.3962962962962963
