CaseID,WMUCount,DeltaISum,DeltaVSum,SmallDeltaISum,SmallDeltaVSum,Network
1,3,1.0696154788202456e-08,0.18444838012638765,False,False,ieee14
2,3,1.0697087336587689e-08,0.18351236375151525,False,False,ieee14
3,3,1.0698932105911144e-08,0.1837435812564776,False,False,ieee14
4,3,1.0561943935284523e-08,0.12840233959889846,False,False,ieee14
5,3,1.056279525106626e-08,0.12121094011343758,False,False,ieee14
6,3,1.0564432458782134e-08,0.12105805870199637,False,False,ieee14
7,3,1.0147457499958479e-08,0.1800253700486465,False,False,ieee14
8,3,1.0148076189170406e-08,0.17463380972091413,False,False,ieee14
9,3,1.0149310132912407e-08,0.17468324725490159,False,False,ieee14
10,3,4.5245667614828373e-10,0.02003580175779729,True,False,ieee14
11,3,4.534719837791591e-10,0.019907400394310826,True,False,ieee14
12,3,4.554948176895251e-10,0.019687422131454024,True,False,ieee14
13,3,4.4770161318847743e-10,0.02111128245127547,True,False,ieee14
14,3,4.485965658257967e-10,0.020986268931722063,True,False,ieee14
15,3,4.5038033472225177e-10,0.0206881646864715,True,False,ieee14
16,3,4.376022639334309e-10,0.022283387489792417,True,False,ieee14
17,3,4.3825230791830793e-10,0.02224403249849627,True,False,ieee14
18,3,4.395452336696671e-10,0.022305140482867247,True,False,ieee14
19,3,1.7904568299689056e-10,0.00444189731780098,True,False,ieee14
20,3,1.7949005337514607e-10,0.004380655950288026,True,False,ieee14
21,3,1.8038155535994615e-10,0.004297371079835188,True,False,ieee14
22,3,1.7882435799662914e-10,0.0045622765672653776,True,False,ieee14
23,3,1.7918011902725515e-10,0.004449603085524334,True,False,ieee14
24,3,1.7989431718799237e-10,0.004317348167267587,True,False,ieee14
25,3,1.7817265508044285e-10,0.004664187887574611,True,False,ieee14
26,3,1.7838492014758635e-10,0.004559789081903798,True,False,ieee14
27,3,1.7881123709574495e-10,0.004381637282278694,True,False,ieee14
28,3,1.830643810314096e-08,0.25221634079970034,False,False,ieee14
29,3,1.8307163086854337e-08,0.24860769157096296,False,False,ieee14
30,3,1.830860510569201e-08,0.2511612417845236,False,False,ieee14
31,3,1.767421638064738e-08,0.23832645621042514,False,False,ieee14
32,3,1.7674872335909097e-08,0.2300795102216655,False,False,ieee14
33,3,1.7676144721509188e-08,0.2306356347079328,False,False,ieee14
34,3,1.7483631096838264e-08,0.24695022563528668,False,False,ieee14
35,3,1.7484171551968565e-08,0.24724113706223183,False,False,ieee14
36,3,1.7485242330334798e-08,0.24805344735975554,False,False,ieee14
37,3,7.806103752391983e-10,0.027318169562299932,True,False,ieee14
38,3,7.815252828790434e-10,0.026657548347479465,True,False,ieee14
39,3,7.833478221491664e-10,0.026545856423662584,True,False,ieee14
40,3,7.562950079396251e-10,0.031004798360814823,True,False,ieee14
41,3,7.570893512767048e-10,0.030412127245641463,True,False,ieee14
42,3,7.586700151633179e-10,0.02869793054496028,True,False,ieee14
43,3,7.545435913958512e-10,0.029583791495670697,True,False,ieee14
44,3,7.551587355796346e-10,0.030096273489193637,True,False,ieee14
45,3,7.563819199032185e-10,0.03222694642106039,True,False,ieee14
46,3,2.6051655085177826e-10,0.005415415885014374,True,False,ieee14
47,3,2.6096126709308133e-10,0.005373043217343332,True,False,ieee14
48,3,2.6185348117240824e-10,0.00524489338687506,True,False,ieee14
49,3,2.59492887818016e-10,0.005727648627488646,True,False,ieee14
50,3,2.598512114044765e-10,0.005585426402805238,True,False,ieee14
51,3,2.605704176895508e-10,0.005492560174651828,True,False,ieee14
52,3,2.5930994416396945e-10,0.005633179164655,True,False,ieee14
53,3,2.5952222486884145e-10,0.005513627686481559,True,False,ieee14
54,3,2.5994858265697444e-10,0.005385598681887815,True,False,ieee14
55,3,2.1131684955422084e-08,0.3393805564453062,False,False,ieee14
56,3,2.1132351198506432e-08,0.3342402217247551,False,False,ieee14
57,3,2.113370384862714e-08,0.33867322265381994,False,False,ieee14
58,3,2.0739457055191934e-08,0.34846345449780125,False,False,ieee14
59,3,2.0740065477091658e-08,0.34132600550939285,False,False,ieee14
60,3,2.074127857299164e-08,0.3506687172428018,False,False,ieee14
61,3,2.0635627335006292e-08,0.3057759657523802,False,False,ieee14
62,3,2.0636143410700044e-08,0.30889226766666555,False,False,ieee14
63,3,2.0637161462439947e-08,0.3076818756526142,False,False,ieee14
64,3,9.522971916724087e-10,0.026616117054072408,True,False,ieee14
65,3,9.531632928372252e-10,0.03401331202222413,True,False,ieee14
66,3,9.548588142539138e-10,0.0327914023342768,True,False,ieee14
67,3,9.318253935590548e-10,0.04649468778153787,True,False,ieee14
68,3,9.32565865193268e-10,0.04724137126244832,True,False,ieee14
69,3,9.340451420345501e-10,0.048056940733049336,True,False,ieee14
70,3,9.311057823623932e-10,0.03027051122194735,True,False,ieee14
71,3,9.31673507330817e-10,0.03148045430620816,True,False,ieee14
72,3,9.328055104084765e-10,0.039647559778605235,True,False,ieee14
73,3,3.57843402282567e-10,0.006423296315286486,True,False,ieee14
74,3,3.5828656108203267e-10,0.006379467868783184,True,False,ieee14
75,3,3.591755019262187e-10,0.006258206097633279,True,False,ieee14
76,3,3.569972056537909e-10,0.006641605841523512,True,False,ieee14
