Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,FaultTypeAccuracy,FaultTypeMacroF1,FaultTypeMacroPrecision,FaultTypeMacroRecall
ieee14,ExtraTrees,Baseline,3,2;6;9,360,180,40,0.7222222222222222,0.6353404998362981,0.5915744957709824,0.7222222222222222
ieee14,RandomForest,Baseline,3,2;6;9,360,180,40,0.25,0.1,0.0625,0.25
ieee14,ExtraTrees,Baseline+NormVI,3,2;6;9,360,180,44,0.5388888888888889,0.4198336067602123,0.5289922591743119,0.5388888888888889
ieee14,RandomForest,Baseline+NormVI,3,2;6;9,360,180,44,0.25,0.1,0.0625,0.25
ieee14,ExtraTrees,Baseline+NormVI+Rank,3,2;6;9,360,180,46,0.6722222222222223,0.5984814843418157,0.5920918367346939,0.6722222222222223
ieee14,RandomForest,Baseline+NormVI+Rank,3,2;6;9,360,180,46,0.25,0.1,0.0625,0.25
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,0.7277777777777777,0.636011815467261,0.5808813727902875,0.7277777777777777
ieee14,RandomForest,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,0.25,0.1,0.0625,0.25
ieee14,ExtraTrees,SpatialOnly,3,2;6;9,360,180,8,0.25,0.11083743842364532,0.07120253164556962,0.25
ieee14,RandomForest,SpatialOnly,3,2;6;9,360,180,8,0.25555555555555554,0.12684894666069027,0.325503355704698,0.25555555555555554
ieee14,ExtraTrees,Baseline,5,2;6;9;11;4,360,180,40,0.7,0.6075920700253428,0.561252446183953,0.7
ieee14,RandomForest,Baseline,5,2;6;9;11;4,360,180,40,0.25,0.1,0.0625,0.25
ieee14,ExtraTrees,Baseline+NormVI,5,2;6;9;11;4,360,180,44,0.6666666666666666,0.5671209273182958,0.49648187633262264,0.6666666666666666
ieee14,RandomForest,Baseline+NormVI,5,2;6;9;11;4,360,180,44,0.25,0.1,0.0625,0.25
ieee14,ExtraTrees,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,0.55,0.4856800137207493,0.5256938857602574,0.55
ieee14,RandomForest,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,0.25,0.1,0.0625,0.25
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,0.6444444444444445,0.5601590311097353,0.5590990187332738,0.6444444444444444
