Network,WMUCount,FeatureSet,SelectedWMUBuses,FeatureColumnsPerWMU,ContainsLabelFeature,SpatialComputedWithinSelectedWMUs
ieee14,3,Baseline,2;6;9,40,False,True
ieee14,3,Baseline+NormVI,2;6;9,44,False,True
ieee14,3,Baseline+NormVI+Rank,2;6;9,46,False,True
ieee14,3,Baseline+NormVI+Rank+VI,2;6;9,48,False,True
ieee14,3,SpatialOnly,2;6;9,8,False,True
ieee14,5,Baseline,2;6;9;11;4,40,False,True
ieee14,5,Baseline+NormVI,2;6;9;11;4,44,False,True
ieee14,5,Baseline+NormVI+Rank,2;6;9;11;4,46,False,True
ieee14,5,Baseline+NormVI+Rank+VI,2;6;9;11;4,48,False,True
ieee14,5,SpatialOnly,2;6;9;11;4,8,False,True
ieee14,14,Baseline,1;2;3;4;5;6;7;8;9;10;11;12;13;14,40,False,True
ieee14,14,Baseline+NormVI,1;2;3;4;5;6;7;8;9;10;11;12;13;14,44,False,True
ieee14,14,Baseline+NormVI+Rank,1;2;3;4;5;6;7;8;9;10;11;12;13;14,46,False,True
ieee14,14,Baseline+NormVI+Rank+VI,1;2;3;4;5;6;7;8;9;10;11;12;13;14,48,False,True
ieee14,14,SpatialOnly,1;2;3;4;5;6;7;8;9;10;11;12;13;14,8,False,True
ieee30,3,Baseline,6;1;2,40,False,True
ieee30,3,Baseline+NormVI,6;1;2,44,False,True
ieee30,3,Baseline+NormVI+Rank,6;1;2,46,False,True
ieee30,3,Baseline+NormVI+Rank+VI,6;1;2,48,False,True
ieee30,3,SpatialOnly,6;1;2,8,False,True
ieee30,5,Baseline,6;1;2;3;4,40,False,True
ieee30,5,Baseline+NormVI,6;1;2;3;4,44,False,True
ieee30,5,Baseline+NormVI+Rank,6;1;2;3;4,46,False,True
ieee30,5,Baseline+NormVI+Rank+VI,6;1;2;3;4,48,False,True
ieee30,5,SpatialOnly,6;1;2;3;4,8,False,True
ieee30,30,Baseline,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,40,False,True
ieee30,30,Baseline+NormVI,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,44,False,True
ieee30,30,Baseline+NormVI+Rank,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,46,False,True
ieee30,30,Baseline+NormVI+Rank+VI,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,48,False,True
ieee30,30,SpatialOnly,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,8,False,True
