Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,FaultBus,SampleCount,ExactBusAccuracy,GraphDistanceMAE,MajorConfusionBus,MajorConfusionCount
ieee14,ExtraTrees,Baseline,3,2;6;9,360,180,40,2,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline,3,2;6;9,360,180,40,6,36,0.0,2.0,2,36
ieee14,ExtraTrees,Baseline,3,2;6;9,360,180,40,9,36,0.0,2.0,2,35
ieee14,ExtraTrees,Baseline,3,2;6;9,360,180,40,11,36,0.0,3.0,2,36
ieee14,ExtraTrees,Baseline,3,2;6;9,360,180,40,14,36,0.0,3.0,2,36
ieee14,RandomForest,Baseline,3,2;6;9,360,180,40,2,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline,3,2;6;9,360,180,40,6,36,0.1111111111111111,1.7777777777777777,2,32
ieee14,RandomForest,Baseline,3,2;6;9,360,180,40,9,36,0.0,2.0,2,31
ieee14,RandomForest,Baseline,3,2;6;9,360,180,40,11,36,0.1388888888888889,2.5833333333333335,2,31
ieee14,RandomForest,Baseline,3,2;6;9,360,180,40,14,36,0.0,3.0,2,28
ieee14,ExtraTrees,Baseline+NormVI,3,2;6;9,360,180,44,2,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI,3,2;6;9,360,180,44,6,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI,3,2;6;9,360,180,44,9,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI,3,2;6;9,360,180,44,11,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI,3,2;6;9,360,180,44,14,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI,3,2;6;9,360,180,44,2,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI,3,2;6;9,360,180,44,6,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI,3,2;6;9,360,180,44,9,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI,3,2;6;9,360,180,44,11,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI,3,2;6;9,360,180,44,14,36,0.6388888888888888,1.0833333333333333,11,13
ieee14,ExtraTrees,Baseline+NormVI+Rank,3,2;6;9,360,180,46,2,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank,3,2;6;9,360,180,46,6,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank,3,2;6;9,360,180,46,9,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank,3,2;6;9,360,180,46,11,36,0.8333333333333334,0.16666666666666666,6,6
ieee14,ExtraTrees,Baseline+NormVI+Rank,3,2;6;9,360,180,46,14,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank,3,2;6;9,360,180,46,2,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank,3,2;6;9,360,180,46,6,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank,3,2;6;9,360,180,46,9,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank,3,2;6;9,360,180,46,11,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank,3,2;6;9,360,180,46,14,36,0.2777777777777778,2.1666666666666665,11,26
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,2,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,6,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,9,36,1.0,0.0,-1,0
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,11,36,0.9444444444444444,0.1111111111111111,6,1
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,14,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,2,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,6,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,9,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,11,36,1.0,0.0,-1,0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,14,36,0.6388888888888888,1.0833333333333333,11,13
ieee14,ExtraTrees,SpatialOnly,3,2;6;9,360,180,8,2,36,1.0,0.0,-1,0
ieee14,ExtraTrees,SpatialOnly,3,2;6;9,360,180,8,6,36,1.0,0.0,-1,0
ieee14,ExtraTrees,SpatialOnly,3,2;6;9,360,180,8,9,36,1.0,0.0,-1,0
ieee14,ExtraTrees,SpatialOnly,3,2;6;9,360,180,8,11,36,0.1111111111111111,0.8888888888888888,6,32
ieee14,ExtraTrees,SpatialOnly,3,2;6;9,360,180,8,14,36,1.0,0.0,-1,0
ieee14,RandomForest,SpatialOnly,3,2;6;9,360,180,8,2,36,1.0,0.0,-1,0
ieee14,RandomForest,SpatialOnly,3,2;6;9,360,180,8,6,36,1.0,0.0,-1,0
