Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,CoarseCategory,SampleCount,Accuracy
ieee14,ExtraTrees,Baseline,3,2;6;9,360,180,40,Ground,90,0.9777777777777777
ieee14,ExtraTrees,Baseline,3,2;6;9,360,180,40,Phase,45,0.9777777777777777
ieee14,ExtraTrees,Baseline,3,2;6;9,360,180,40,ThreePhase,45,1.0
ieee14,RandomForest,Baseline,3,2;6;9,360,180,40,Ground,90,0.0
ieee14,RandomForest,Baseline,3,2;6;9,360,180,40,Phase,45,0.0
ieee14,RandomForest,Baseline,3,2;6;9,360,180,40,ThreePhase,45,1.0
ieee14,ExtraTrees,Baseline+NormVI,3,2;6;9,360,180,44,Ground,90,0.6222222222222222
ieee14,ExtraTrees,Baseline+NormVI,3,2;6;9,360,180,44,Phase,45,0.9333333333333333
ieee14,ExtraTrees,Baseline+NormVI,3,2;6;9,360,180,44,ThreePhase,45,1.0
ieee14,RandomForest,Baseline+NormVI,3,2;6;9,360,180,44,Ground,90,0.0
ieee14,RandomForest,Baseline+NormVI,3,2;6;9,360,180,44,Phase,45,0.0
ieee14,RandomForest,Baseline+NormVI,3,2;6;9,360,180,44,ThreePhase,45,1.0
ieee14,ExtraTrees,Baseline+NormVI+Rank,3,2;6;9,360,180,46,Ground,90,0.28888888888888886
ieee14,ExtraTrees,Baseline+NormVI+Rank,3,2;6;9,360,180,46,Phase,45,0.8222222222222222
ieee14,ExtraTrees,Baseline+NormVI+Rank,3,2;6;9,360,180,46,ThreePhase,45,1.0
ieee14,RandomForest,Baseline+NormVI+Rank,3,2;6;9,360,180,46,Ground,90,0.0
ieee14,RandomForest,Baseline+NormVI+Rank,3,2;6;9,360,180,46,Phase,45,0.0
ieee14,RandomForest,Baseline+NormVI+Rank,3,2;6;9,360,180,46,ThreePhase,45,1.0
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,Ground,90,0.6333333333333333
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,Phase,45,0.9333333333333333
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,ThreePhase,45,1.0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,Ground,90,0.0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,Phase,45,0.0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,ThreePhase,45,1.0
ieee14,ExtraTrees,SpatialOnly,3,2;6;9,360,180,8,Ground,90,1.0
ieee14,ExtraTrees,SpatialOnly,3,2;6;9,360,180,8,Phase,45,0.0
ieee14,ExtraTrees,SpatialOnly,3,2;6;9,360,180,8,ThreePhase,45,0.0
ieee14,RandomForest,SpatialOnly,3,2;6;9,360,180,8,Ground,90,0.9444444444444444
ieee14,RandomForest,SpatialOnly,3,2;6;9,360,180,8,Phase,45,0.0
ieee14,RandomForest,SpatialOnly,3,2;6;9,360,180,8,ThreePhase,45,0.0
ieee14,ExtraTrees,Baseline,5,2;6;9;11;4,360,180,40,Ground,90,0.5111111111111111
ieee14,ExtraTrees,Baseline,5,2;6;9;11;4,360,180,40,Phase,45,0.6
ieee14,ExtraTrees,Baseline,5,2;6;9;11;4,360,180,40,ThreePhase,45,1.0
ieee14,RandomForest,Baseline,5,2;6;9;11;4,360,180,40,Ground,90,0.0
ieee14,RandomForest,Baseline,5,2;6;9;11;4,360,180,40,Phase,45,0.0
ieee14,RandomForest,Baseline,5,2;6;9;11;4,360,180,40,ThreePhase,45,1.0
ieee14,ExtraTrees,Baseline+NormVI,5,2;6;9;11;4,360,180,44,Ground,90,0.9333333333333333
ieee14,ExtraTrees,Baseline+NormVI,5,2;6;9;11;4,360,180,44,Phase,45,0.8222222222222222
ieee14,ExtraTrees,Baseline+NormVI,5,2;6;9;11;4,360,180,44,ThreePhase,45,1.0
ieee14,RandomForest,Baseline+NormVI,5,2;6;9;11;4,360,180,44,Ground,90,0.0
ieee14,RandomForest,Baseline+NormVI,5,2;6;9;11;4,360,180,44,Phase,45,0.0
ieee14,RandomForest,Baseline+NormVI,5,2;6;9;11;4,360,180,44,ThreePhase,45,1.0
ieee14,ExtraTrees,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,Ground,90,0.3333333333333333
ieee14,ExtraTrees,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,Phase,45,0.9777777777777777
ieee14,ExtraTrees,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,ThreePhase,45,1.0
ieee14,RandomForest,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,Ground,90,0.0
ieee14,RandomForest,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,Phase,45,0.0
ieee14,RandomForest,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,ThreePhase,45,1.0
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,Ground,90,0.8888888888888888
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,Phase,45,1.0
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,ThreePhase,45,1.0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,Ground,90,0.0
ieee14,RandomForest,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,Phase,45,0.08888888888888889
ieee14,RandomForest,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,ThreePhase,45,1.0
ieee14,ExtraTrees,SpatialOnly,5,2;6;9;11;4,360,180,8,Ground,90,1.0
ieee14,ExtraTrees,SpatialOnly,5,2;6;9;11;4,360,180,8,Phase,45,0.0
ieee14,ExtraTrees,SpatialOnly,5,2;6;9;11;4,360,180,8,ThreePhase,45,0.0
ieee14,RandomForest,SpatialOnly,5,2;6;9;11;4,360,180,8,Ground,90,0.7666666666666667
ieee14,RandomForest,SpatialOnly,5,2;6;9;11;4,360,180,8,Phase,45,0.4222222222222222
ieee14,RandomForest,SpatialOnly,5,2;6;9;11;4,360,180,8,ThreePhase,45,0.0
ieee14,ExtraTrees,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,Ground,90,0.0
ieee14,ExtraTrees,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,Phase,45,0.8444444444444444
ieee14,ExtraTrees,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,ThreePhase,45,1.0
ieee14,RandomForest,Baseline,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,40,Ground,90,0.0
