Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,ExactBusAccuracy,OneHopAccuracy,GraphDistanceMAE
ieee14,ExtraTrees,Baseline,3,2;6;9,360,180,40,0.2,0.2,2.0
ieee14,RandomForest,Baseline,3,2;6;9,360,180,40,0.25,0.25,1.8722222222222222
ieee14,ExtraTrees,Baseline+NormVI,3,2;6;9,360,180,44,1.0,1.0,0.0
ieee14,RandomForest,Baseline+NormVI,3,2;6;9,360,180,44,0.9277777777777778,0.9277777777777778,0.21666666666666667
ieee14,ExtraTrees,Baseline+NormVI+Rank,3,2;6;9,360,180,46,0.9666666666666667,1.0,0.03333333333333333
ieee14,RandomForest,Baseline+NormVI+Rank,3,2;6;9,360,180,46,0.8555555555555555,0.8555555555555555,0.43333333333333335
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,0.9888888888888889,0.9944444444444445,0.022222222222222223
ieee14,RandomForest,Baseline+NormVI+Rank+VI,3,2;6;9,360,180,48,0.9277777777777778,0.9277777777777778,0.21666666666666667
ieee14,ExtraTrees,SpatialOnly,3,2;6;9,360,180,8,0.8222222222222222,1.0,0.17777777777777778
ieee14,RandomForest,SpatialOnly,3,2;6;9,360,180,8,0.9722222222222222,0.9722222222222222,0.08333333333333333
ieee14,ExtraTrees,Baseline,5,2;6;9;11;4,360,180,40,0.2,0.2,2.0
ieee14,RandomForest,Baseline,5,2;6;9;11;4,360,180,40,0.20555555555555555,0.20555555555555555,1.988888888888889
ieee14,ExtraTrees,Baseline+NormVI,5,2;6;9;11;4,360,180,44,1.0,1.0,0.0
ieee14,RandomForest,Baseline+NormVI,5,2;6;9;11;4,360,180,44,0.8,0.8,0.4
ieee14,ExtraTrees,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,0.8166666666666667,0.8166666666666667,0.36666666666666664
ieee14,RandomForest,Baseline+NormVI+Rank,5,2;6;9;11;4,360,180,46,0.8166666666666667,0.8166666666666667,0.36666666666666664
ieee14,ExtraTrees,Baseline+NormVI+Rank+VI,5,2;6;9;11;4,360,180,48,0.85,0.85,0.3
