CaseID,CaseName,ScenarioGroup,EventType,EventSubtype,LoadSwitchPct,TargetBus,IsFault,BinaryFaultLabel,SourceModel,RawCsvPath,IBR_SSO_Background,SSO_Frequency,SSO_StartTime,SSO_EndTime,LoadSwitchTime,LoadAddActivePower,LoadAddInductivePower,Status,Message,FaultStartTime,FaultClearTime,FaultType,OutputFile
,SSO_Normal_Case01,,SSO_Normal,,,,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_Normal_Case01.csv
,SSO_Normal_Case02,,SSO_Normal,,,,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_Normal_Case02.csv
,SSO_Normal_Case03,,SSO_Normal,,,,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_Normal_Case03.csv
,SSO_LoadSwitch_Bus02,,SSO_LoadSwitch,,15.0,2.0,,,,,1,25,0.02,0.48,0.1,0.03255,0.01905,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus02.csv
,SSO_LoadSwitch_Bus03,,SSO_LoadSwitch,,15.0,3.0,,,,,1,25,0.02,0.48,0.1,0.0036,0.0018,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus03.csv
,SSO_LoadSwitch_Bus04,,SSO_LoadSwitch,,15.0,4.0,,,,,1,25,0.02,0.48,0.1,0.0114,0.0024,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus04.csv
,SSO_LoadSwitch_Bus05,,SSO_LoadSwitch,,15.0,5.0,,,,,1,25,0.02,0.48,0.1,0.1413,0.0285,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus05.csv
,SSO_LoadSwitch_Bus07,,SSO_LoadSwitch,,15.0,7.0,,,,,1,25,0.02,0.48,0.1,0.0342,0.01635,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus07.csv
,SSO_LoadSwitch_Bus08,,SSO_LoadSwitch,,15.0,8.0,,,,,1,25,0.02,0.48,0.1,0.045,0.045,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus08.csv
,SSO_LoadSwitch_Bus10,,SSO_LoadSwitch,,15.0,10.0,,,,,1,25,0.02,0.48,0.1,0.0087,0.003,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus10.csv
