CaseID,CaseName,ScenarioGroup,EventType,EventSubtype,LoadSwitchPct,TargetBus,IsFault,BinaryFaultLabel,SourceModel,RawCsvPath,IBR_SSO_Background,SSO_Frequency,SSO_StartTime,SSO_EndTime,LoadSwitchTime,LoadAddActivePower,LoadAddInductivePower,Status,Message
E1_LoadSwitch5pct_Bus02,E1_LoadSwitch5pct_Bus02,LoadSwitchVariation,SSO_LoadSwitch,LoadSwitch5pct,5,2,0,0,C:\Users\user\Documents\MATLAB\WMU_final\Thirtybussys_WMU_IBR_batch.slx,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E1_LoadSwitch5pct_Bus02.csv,1,25,0.02,0.48,0.1,0.01085,0.00635,OK,Simulation and export completed.
E1_LoadSwitch5pct_Bus03,E1_LoadSwitch5pct_Bus03,LoadSwitchVariation,SSO_LoadSwitch,LoadSwitch5pct,5,3,0,0,C:\Users\user\Documents\MATLAB\WMU_final\Thirtybussys_WMU_IBR_batch.slx,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E1_LoadSwitch5pct_Bus03.csv,1,25,0.02,0.48,0.1,0.0012,0.0006,OK,Simulation and export completed.
E1_LoadSwitch5pct_Bus04,E1_LoadSwitch5pct_Bus04,LoadSwitchVariation,SSO_LoadSwitch,LoadSwitch5pct,5,4,0,0,C:\Users\user\Documents\MATLAB\WMU_final\Thirtybussys_WMU_IBR_batch.slx,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E1_LoadSwitch5pct_Bus04.csv,1,25,0.02,0.48,0.1,0.0038,0.0008,OK,Simulation and export completed.
E1_LoadSwitch5pct_Bus05,E1_LoadSwitch5pct_Bus05,LoadSwitchVariation,SSO_LoadSwitch,LoadSwitch5pct,5,5,0,0,C:\Users\user\Documents\MATLAB\WMU_final\Thirtybussys_WMU_IBR_batch.slx,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E1_LoadSwitch5pct_Bus05.csv,1,25,0.02,0.48,0.1,0.0471,0.0095,OK,Simulation and export completed.
E1_LoadSwitch5pct_Bus07,E1_LoadSwitch5pct_Bus07,LoadSwitchVariation,SSO_LoadSwitch,LoadSwitch5pct,5,7,0,0,C:\Users\user\Documents\MATLAB\WMU_final\Thirtybussys_WMU_IBR_batch.slx,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E1_LoadSwitch5pct_Bus07.csv,1,25,0.02,0.48,0.1,0.0114,0.00545,OK,Simulation and export completed.
E1_LoadSwitch5pct_Bus08,E1_LoadSwitch5pct_Bus08,LoadSwitchVariation,SSO_LoadSwitch,LoadSwitch5pct,5,8,0,0,C:\Users\user\Documents\MATLAB\WMU_final\Thirtybussys_WMU_IBR_batch.slx,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E1_LoadSwitch5pct_Bus08.csv,1,25,0.02,0.48,0.1,0.015,0.015,OK,Simulation and export completed.
E1_LoadSwitch5pct_Bus10,E1_LoadSwitch5pct_Bus10,LoadSwitchVariation,SSO_LoadSwitch,LoadSwitch5pct,5,10,0,0,C:\Users\user\Documents\MATLAB\WMU_final\Thirtybussys_WMU_IBR_batch.slx,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E1_LoadSwitch5pct_Bus10.csv,1,25,0.02,0.48,0.1,0.0029,0.001,OK,Simulation and export completed.
E1_LoadSwitch5pct_Bus12,E1_LoadSwitch5pct_Bus12,LoadSwitchVariation,SSO_LoadSwitch,LoadSwitch5pct,5,12,0,0,C:\Users\user\Documents\MATLAB\WMU_final\Thirtybussys_WMU_IBR_batch.slx,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E1_LoadSwitch5pct_Bus12.csv,1,25,0.02,0.48,0.1,0.0056,0.00375,OK,Simulation and export completed.
E1_LoadSwitch5pct_Bus14,E1_LoadSwitch5pct_Bus14,LoadSwitchVariation,SSO_LoadSwitch,LoadSwitch5pct,5,14,0,0,C:\Users\user\Documents\MATLAB\WMU_final\Thirtybussys_WMU_IBR_batch.slx,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E1_LoadSwitch5pct_Bus14.csv,1,25,0.02,0.48,0.1,0.0031,0.0008,OK,Simulation and export completed.
E1_LoadSwitch5pct_Bus15,E1_LoadSwitch5pct_Bus15,LoadSwitchVariation,SSO_LoadSwitch,LoadSwitch5pct,5,15,0,0,C:\Users\user\Documents\MATLAB\WMU_final\Thirtybussys_WMU_IBR_batch.slx,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E1_LoadSwitch5pct_Bus15.csv,1,25,0.02,0.48,0.1,0.0041,0.00125,OK,Simulation and export completed.
