Bus,LoadSwitchPct,ExistingLoadBlock,LoadAddBlock,ExistingActivePower,ExistingInductivePower,ComputedActivePower,ComputedInductivePower,AppliedActivePower,AppliedInductivePower,AppliedCapacitivePower,NominalVoltage,NominalFrequency,Status,Message
2,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load2,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd2,0.217,0.127,0.0651,0.0381,0.0651,0.0381,0,1,50,OK,Applied from existing Load P/QL
3,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load3,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd3,0.024,0.012,0.0072,0.0036,0.0072,0.0036,0,1,50,OK,Applied from existing Load P/QL
4,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load4,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd4,0.076,0.016,0.0228,0.0048,0.0228,0.0048,0,1,50,OK,Applied from existing Load P/QL
5,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd5,0.942,0.19,0.2826,0.057,0.2826,0.057,0,1,50,OK,Applied from existing Load P/QL
7,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load7,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd7,0.228,0.109,0.0684,0.0327,0.0684,0.0327,0,1,50,OK,Applied from existing Load P/QL
8,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load8,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd8,0.3,0.3,0.09,0.09,0.09,0.09,0,1,50,OK,Applied from existing Load P/QL
10,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load10,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd10,0.058,0.02,0.0174,0.006,0.0174,0.006,0,1,50,OK,Applied from existing Load P/QL
12,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load12,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd12,0.112,0.075,0.0336,0.0225,0.0336,0.0225,0,1,50,OK,Applied from existing Load P/QL
14,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load14,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd14,0.062,0.016,0.0186,0.0048,0.0186,0.0048,0,1,50,OK,Applied from existing Load P/QL
15,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load15,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd15,0.082,0.025,0.0246,0.0075,0.0246,0.0075,0,1,50,OK,Applied from existing Load P/QL
16,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load16,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd16,0.035,0.018,0.0105,0.0054,0.0105,0.0054,0,1,50,OK,Applied from existing Load P/QL
17,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load17,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd17,0.09,0.058,0.027,0.0174,0.027,0.0174,0,1,50,OK,Applied from existing Load P/QL
18,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load18,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd18,0.032,0.009,0.0096,0.0027,0.0096,0.0027,0,1,50,OK,Applied from existing Load P/QL
19,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load19,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd19,0.095,0.034,0.0285,0.0102,0.0285,0.0102,0,1,50,OK,Applied from existing Load P/QL
20,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load20,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd20,0.022,0.007,0.0066,0.0021,0.0066,0.0021,0,1,50,OK,Applied from existing Load P/QL
21,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load21,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd21,0.175,0.112,0.0525,0.0336,0.0525,0.0336,0,1,50,OK,Applied from existing Load P/QL
23,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load23,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd23,0.032,0.016,0.0096,0.0048,0.0096,0.0048,0,1,50,OK,Applied from existing Load P/QL
24,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load24,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd24,0.087,0.067,0.0261,0.0201,0.0261,0.0201,0,1,50,OK,Applied from existing Load P/QL
26,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load26,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd26,0.035,0.023,0.0105,0.0069,0.0105,0.0069,0,1,50,OK,Applied from existing Load P/QL
29,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load29,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd29,0.024,0.009,0.0072,0.0027,0.0072,0.0027,0,1,50,OK,Applied from existing Load P/QL
30,30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd30,0.106,0.019,0.0318,0.0057,0.0318,0.0057,0,1,50,OK,Applied from existing Load P/QL
