WMUSet,k,NormalFP,LoadSwitchFP,SLGFN,ThreePhaseFN,TotalFP,TotalFN,FaultRecall,NonFaultSpecificity,LoadSwitchSpecificity,BinaryAccuracy,Feasible,FaultScoreMargin,BestThreshold,NonFaultMaxScore,FaultMinScore,ClassifierType,UsedFeatureSet
1,1,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.17822543863096185,-0.005003400453706536,0.2944629759464166,0.11623753731545478,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
2,1,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.03987095961494541,0.11437521857818664,0.09443973877071393,0.13431069838565934,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
3,1,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.037561733068829595,0.6875010307395105,0.8984148302112911,0.8608530971424615,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
4,1,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.11067915332449285,0.6557856907406918,0.9073764020051325,0.7966972486806396,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
5,1,0,1,0,0,1,0,1.0,0.9848484848484849,0.9841269841269842,0.9920634920634921,False,-0.13213057127697664,0.12191793928483166,0.3348045884296649,0.20267401715268824,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
6,1,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.40629302017235486,0.308394162034323,0.10524765194814562,0.5115406721205005,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
7,1,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.14202178257029352,0.6711486440712978,0.9437355041980061,0.8017137216277126,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
8,1,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.2310251962994545,0.6142993619513816,0.9437628411277497,0.7127376448282952,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
9,1,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.13123041250127074,0.19878923964646628,0.13317403339583092,0.26440444589710166,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
10,1,3,0,0,0,3,0,1.0,0.9545454545454546,1.0,0.9761904761904762,False,-0.12591032452708184,0.7283416298760523,0.8962632368932665,0.7703529123661846,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
